Accession,Entry,Name,ex1_114.113,ex1_117.116,ex2_114.113,ex2_117.116,ex1_115.113,ex1_118.116,ex2_115.113,ex2_118.116
SYNEM_HUMAN,O15061,Synemin,2.27,0.535,1.644,0.334,4.786,1.923,1.803,1.82
ARPC5_HUMAN,O15511,"Actin-related protein 2/3 complex subunit 5",4.13,1.556,2.992,1.486,4.966,1.629,3.467,3.162
MCCB_HUMAN,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",0.466,0.895,0.483,1.117,0.421,0.685,0.614,0.603
SYNC_HUMAN,O43776,"Asparaginyl-tRNA synthetase, cytoplasmic",0.265,1.38,0.119,0.52,0.692,0.692,0.322,0.242
CACP_HUMAN,P43155,"Carnitine O-acetyltransferase",0.015,0.787,0.879,1.432,0.207,0.655,0.54,0.766
EPIPL_HUMAN,P58107,Epiplakin,2.466,0.47,1.067,1.236,3.342,2.128,2.228,2.938
NAGK_HUMAN,Q9UJ70,"N-acetyl-D-glucosamine kinase",1.127,1.127,2.128,8.241,1.138,0.982,0.692,17.219
FABP4_HUMAN,P15090,"Fatty acid-binding protein, adipocyte",0.052,0.592,3.02,1.096,0.705,0.034,0.063,0.254
TPM3L_HUMAN,A6NL28,"Putative tropomyosin alpha-3 chain-like protein",0.545,0.964,6.918,0.506,6.607,1.127,6.792,1.169
CAH2_HUMAN,P00918,"Carbonic anhydrase 2",0.063,1.82,0.039,0.685,0.366,0.391,0.066,0.36
DREB_HUMAN,Q16643,Drebrin,2.489,0.929,0.132,1.432,2.333,1.542,1.738,4.446
SC24D_HUMAN,O94855,"Protein transport protein Sec24D",0.175,0.545,0.724,0.78,0.402,0.53,0.661,1.117
SEGN_HUMAN,O76038,Secretagogin,1.009,1.905,0.044,1.644,0.268,0.461,0.119,0.398
SERC_HUMAN,Q9Y617,"Phosphoserine aminotransferase",0.113,0.608,0.053,13.804,0.077,0.254,0.025,0.679
SPTA1_HUMAN,P02549,"Spectrin alpha chain, erythrocyte",0.637,1,0.129,0.991,0.643,1.009,1.019,1.096
HYEP_HUMAN,P07099,"Epoxide hydrolase 1",0.258,0.855,2.399,1.019,0.042,0.391,0.047,0.145
QOR_HUMAN,Q08257,"Quinone oxidoreductase",0.029,0.92,0.291,8.318,0.291,0.506,0.466,0.946
PGRC2_HUMAN,O15173,"Membrane-associated progesterone receptor component 2",0.088,0.441,0.47,1.706,0.421,0.525,0.608,0.142
CEL2A_HUMAN,P08217,"Chymotrypsin-like elastase family member 2A",1.432,1.419,1.459,0.501,0.042,0.249,0.016,0.11
HDHD2_HUMAN,Q9H0R4,"Haloacid dehalogenase-like hydrolase domain-containing protein 2",0.964,1.067,0.072,3.802,0.535,0.643,0.179,0.185
SRBS2_HUMAN,O94875,"Sorbin and SH3 domain-containing protein 2",0.122,0.912,1.225,1.629,0.421,0.413,0.565,0.488
SYNP2_HUMAN,Q9UMS6,Synaptopodin-2,1.432,1.127,5.395,0.608,3.631,1.038,3.467,1.629
HNRH3_HUMAN,P31942,"Heterogeneous nuclear ribonucleoprotein H3",0.167,0.655,0.887,0.679,0.832,0.391,2.168,0.273
SYMC_HUMAN,P56192,"Methionyl-tRNA synthetase, cytoplasmic",0.131,0.832,1.038,1.117,0.483,0.698,0.855,0.661
DOPD_HUMAN,P30046,"D-dopachrome decarboxylase",0.146,2.831,0.086,0.631,0.065,0.592,0.021,0.121
TFG_HUMAN,Q92734,"Protein TFG",0.308,0.982,0.47,1.057,0.398,0.437,0.316,0.196
HIBCH_HUMAN,Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0.92,0.608,0.692,0.673,0.497,0.453,0.492,0.608
MUTA_HUMAN,P22033,"Methylmalonyl-CoA mutase, mitochondrial",0.105,1.445,0.331,1.191,0.286,0.47,0.515,0.698
DJB11_HUMAN,Q9UBS4,"DnaJ homolog subfamily B member 11",0.167,0.679,0.402,1.019,0.356,0.479,0.586,0.855
CLCA_HUMAN,P09496,"Clathrin light chain A",0.377,0.441,1.225,1.202,1.57,1.117,1.225,4.699
IC1_HUMAN,P05155,"Plasma protease C1 inhibitor",3.532,10.093,3.076,0.847,1.459,6.427,1.096,1.57
NB5R3_HUMAN,P00387,"NADH-cytochrome b5 reductase 3",0.433,2.032,1.33,0.847,2.188,1.959,1.459,1.213
IGHG2_HUMAN,P01859,"Ig gamma-2 chain C region",0.172,0.625,0.413,0.394,4.093,1.57,1.047,2.489
SYCN_HUMAN,Q0VAF6,Syncollin,0.142,0.347,0.169,0.479,0.023,0.129,0.022,1.722
FBLN2_HUMAN,P98095,Fibulin-2,5.861,1.057,2.559,0.545,17.219,2.168,3.311,2.754
PHP14_HUMAN,Q9NRX4,"14 kDa phosphohistidine phosphatase",0.244,0.501,1.854,0.344,0.608,0.773,0.982,0.655
IF4A3_HUMAN,P38919,"Eukaryotic initiation factor 4A-III",0.53,0.53,0.149,0.308,0.581,0.171,0.387,0.175
BCAM_HUMAN,P50895,"Basal cell adhesion molecule",0.047,0.724,0.692,0.273,0.511,0.402,0.631,0.171
PRDX4_HUMAN,Q13162,Peroxiredoxin-4,0.082,0.724,1.096,2.421,0.058,0.179,0.077,0.219
HBD_HUMAN,P02042,"Hemoglobin subunit delta",0.363,1.117,0.018,1.888,0.398,0.164,0.047,0.718
PLIN4_HUMAN,Q96Q06,Perilipin-4,0.421,1.096,3.837,0.201,0.38,0.839,0.072,0.124
IF4H_HUMAN,Q15056,"Eukaryotic translation initiation factor 4H",0.175,0.863,0.203,0.964,0.938,0.887,0.56,0.863
SNTB1_HUMAN,Q13884,Beta-1-syntrophin,0.052,0.794,0.12,0.16,0.479,0.766,0.112,0.203
AIMP1_HUMAN,Q12904,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",0.773,0.938,0.479,1.393,1,0.711,0.461,0.631
NP1L4_HUMAN,Q99733,"Nucleosome assembly protein 1-like 4",0.158,0.809,0.065,0.787,1,0.136,0.855,0.027
AMY2B_HUMAN,P19961,"Alpha-amylase 2B",0.169,0.565,0.107,2.466,0.033,0.067,0.06,0.545
PABP2_HUMAN,Q86U42,"Polyadenylate-binding protein 2",0.089,0.105,0.555,0.871,0.637,0.056,0.946,1.57
RS12_HUMAN,P25398,"40S ribosomal protein S12",0.032,0.449,0.068,1.086,0.461,0.402,0.275,0.752
NCPR_HUMAN,P16435,"NADPH--cytochrome P450 reductase",3.076,1.556,1.259,1.057,1.614,1.419,1.271,0.879
CALU_HUMAN,O43852,Calumenin,0.16,0.879,1.614,1.556,2.208,1.432,2.032,1.722
COPB_HUMAN,P53618,"Coatomer subunit beta",0.1,0.625,0.236,0.501,1.393,0.597,0.441,0.614
DNJC3_HUMAN,Q13217,"DnaJ homolog subfamily C member 3",0.35,0.52,0.095,1.5,0.506,0.711,0.373,0.483
SRSF2_HUMAN,Q01130,"Serine/arginine-rich splicing factor 2",0.511,0.887,0.608,3.251,1.038,1.5,1.786,5.598
CRIP2_HUMAN,P52943,"Cysteine-rich protein 2",1.803,1.019,1.854,0.27,1.148,1.33,1.57,1.82
ITA1_HUMAN,P56199,"Integrin alpha-1",2.014,1.159,1.542,0.608,3.837,1.803,1.854,1.225
PROSC_HUMAN,O94903,"Proline synthase co-transcribed bacterial homolog protein",0.207,0.766,0.895,0.57,0.614,0.394,0.457,0.161
S10A9_HUMAN,P06702,"Protein S100-A9",1.923,1.169,0.275,69.183,2.63,3.873,5.152,71.121
ITB4_HUMAN,P16144,"Integrin beta-4",0.955,1.148,1.722,2.679,1.107,1.18,10,14.588
TPD52_HUMAN,P55327,"Tumor protein D52",0.964,0.711,0.205,2.188,0.356,0.281,0.145,0.745
LYSC_HUMAN,P61626,"Lysozyme C",1.393,1.18,4.831,3.802,2.051,1.585,19.409,5.916
SNX12_HUMAN,Q9UMY4,"Sorting nexin-12",0.964,0.982,1.5,0.275,1.614,1.019,1.585,1.148
HYES_HUMAN,P34913,"Epoxide hydrolase 2",1.009,1.076,0.614,1.047,0.54,0.887,0.603,0.698
ECI1_HUMAN,P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",0.074,1.028,0.038,5.152,0.661,0.445,0.132,0.145
SRPR_HUMAN,P08240,"Signal recognition particle receptor subunit alpha",0.219,0.631,0.592,0.54,0.832,0.863,0.643,0.973
ODB2_HUMAN,P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",0.122,0.667,0.067,2.78,0.187,0.479,0.092,0.291
CATG_HUMAN,P08311,"Cathepsin G",3.02,2.831,8.79,1.343,2.938,15.417,9.727,4.875
HSPB6_HUMAN,O14558,"Heat shock protein beta-6",1.486,1.472,1.923,0.47,1.318,1.514,1.445,1.514
IF4B_HUMAN,P23588,"Eukaryotic translation initiation factor 4B",0.011,0.497,3.311,0.692,0.122,0.124,0.78,0.174
PACN2_HUMAN,Q9UNF0,"Protein kinase C and casein kinase substrate in neurons protein 2",0.056,0.938,0.36,1.019,0.581,0.887,0.655,0.738
RPR1B_HUMAN,Q9NQG5,"Regulation of nuclear pre-mRNA domain-containing protein 1B",0.745,0.887,0.565,0.794,0.488,0.483,0.661,0.973
PBLD_HUMAN,P30039,"Phenazine biosynthesis-like domain-containing protein",0.35,0.603,0.062,2.014,0.067,0.879,0.177,0.752
CYTB_HUMAN,P04080,Cystatin-B,0.031,1.294,0.377,1.754,1.057,1.871,1.202,3.436
H10_HUMAN,P07305,"Histone H1.0",0.291,0.879,1.355,4.529,1.57,1.675,2.466,4.742
MXRA5_HUMAN,Q9NR99,"Matrix-remodeling-associated protein 5",3.192,1.259,6.486,0.673,4.207,5.105,10.864,1.959
LXN_HUMAN,Q9BS40,Latexin,1.486,0.904,2.188,1.213,3.311,1.076,4.055,2.089
ERO1A_HUMAN,Q96HE7,"ERO1-like protein alpha",0.738,0.839,0.679,2.655,1.432,1.675,3.565,1.472
LSP1_HUMAN,P33241,"Lymphocyte-specific protein 1",8.241,1.159,7.586,0.56,4.875,2.109,7.656,1.076
AMPN_HUMAN,P15144,"Aminopeptidase N",0.031,1.294,1.66,0.773,0.344,1,0.745,0.655
GNAS1_HUMAN,Q5JWF2,"Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas",0.457,1.38,0.47,0.991,0.855,0.794,0.479,0.511
CATB_HUMAN,P07858,"Cathepsin B",0.15,1.486,3.945,1.888,1.486,1.854,5.2,6.918
LAMA3_HUMAN,Q16787,"Laminin subunit alpha-3",11.272,0.964,0.086,1.556,9.817,1.803,2.63,4.093
HCFC1_HUMAN,P51610,"Host cell factor 1",3.342,1.57,0.488,1.977,4.742,1.82,1.542,2.805
SODE_HUMAN,P08294,"Extracellular superoxide dismutase [Cu-Zn]",1.019,0.361,1.447,3.044,0.117,0.062,0.106,0.708
3HIDH_HUMAN,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.839,0.705,0.325,1.754,0.643,0.319,0.53,0.637
COR1C_HUMAN,Q9ULV4,Coronin-1C,1.472,1.019,2.512,1.786,7.178,0.752,3.532,1.738
GAMT_HUMAN,Q14353,"Guanidinoacetate N-methyltransferase",0.084,0.752,0.2,3.281,0.026,0.302,0.198,0.391
FKB10_HUMAN,Q96AY3,"Peptidyl-prolyl cis-trans isomerase FKBP10",3.873,1.33,2.355,1.941,5.808,3.076,2.355,1.271
GSTM2_HUMAN,P28161,"Glutathione S-transferase Mu 2",0.724,1.009,0.083,1.138,0.637,0.794,0.05,0.35
KAD3_HUMAN,Q9UIJ7,"GTP:AMP phosphotransferase, mitochondrial",0.032,0.711,1.445,0.673,0.586,0.724,0.912,0.55
CCDC6_HUMAN,Q16204,"Coiled-coil domain-containing protein 6",0.015,1,1.282,0.794,0.863,0.54,0.964,0.661
FBN1_HUMAN,P35555,Fibrillin-1,0.067,1.191,1.706,1.096,2.291,2.858,2.27,2.992
ADO_HUMAN,Q06278,"Aldehyde oxidase",0.089,0.731,0.711,0.223,0.076,0.839,0.855,0.227
SPRE_HUMAN,P35270,"Sepiapterin reductase",0.054,0.649,0.55,0.575,0.47,0.466,0.291,0.731
1433S_HUMAN,P31947,"14-3-3 protein sigma",1.888,1.18,1.191,0.817,1.722,1.69,4.13,1.213
GNMT_HUMAN,Q14749,"Glycine N-methyltransferase",0.254,0.474,0.661,0.982,0.084,0.515,0.115,0.38
PSMD2_HUMAN,Q13200,"26S proteasome non-ATPase regulatory subunit 2",0.887,0.373,0.545,0.515,0.692,0.631,0.555,0.506
GP2_HUMAN,P55259,"Pancreatic secretory granule membrane major glycoprotein GP2",0.027,0.492,1.977,0.711,0.016,0.249,0.045,0.231
SSRA_HUMAN,P43307,"Translocon-associated protein subunit alpha",0.081,1.127,0.097,1.923,0.316,0.637,0.254,0.698
APOD_HUMAN,P05090,"Apolipoprotein D",1.722,1.472,2.512,1.202,2.582,2.704,1.585,1.82
QCR7_HUMAN,P14927,"Cytochrome b-c1 complex subunit 7",0.673,1.514,0.153,1.318,0.78,0.964,0.36,0.545
S10A6_HUMAN,P06703,"Protein S100-A6",18.88,1.6,2.208,0.705,28.84,1.754,7.798,3.436
B3AT_HUMAN,P02730,"Band 3 anion transport protein",0.231,0.973,0.373,1.096,0.334,0.673,0.38,0.759
PDLI4_HUMAN,P50479,"PDZ and LIM domain protein 4",1.18,0.847,4.325,0.316,8.472,1.202,4.365,3.02
ETHE1_HUMAN,O95571,"Protein ETHE1, mitochondrial",0.474,0.619,11.066,2.729,2.582,1.486,16.144,5.916
TXD12_HUMAN,O95881,"Thioredoxin domain-containing protein 12",0.129,0.929,0.809,0.982,0.501,0.449,0.724,0.824
PICAL_HUMAN,Q13492,"Phosphatidylinositol-binding clathrin assembly protein",0.57,0.824,3.048,1.706,2.938,1.086,2.911,1.754
NHRF1_HUMAN,O14745,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1",0.166,0.879,0.449,0.425,2.228,0.461,0.946,1.096
PLIN1_HUMAN,O60240,Perilipin-1,0.724,0.724,2.466,0.946,0.429,0.625,0.745,0.679
CYB5_HUMAN,P00167,"Cytochrome b5",1.644,0.724,0.685,1.282,0.441,0.661,0.575,0.991
ENOG_HUMAN,P09104,Gamma-enolase,0.36,1.343,0.146,0.871,1.038,1.77,1.138,2.377
CIRBP_HUMAN,Q14011,"Cold-inducible RNA-binding protein",0.111,0.887,0.38,3.802,0.581,0.366,0.161,0.879
GMFG_HUMAN,O60234,"Glia maturation factor gamma",3.251,1.148,1.556,1.236,6.31,0.619,1.432,1.514
PSA5_HUMAN,P28066,"Proteasome subunit alpha type-5",0.06,0.802,0.157,1.5,0.92,0.063,0.685,0.227
VINEX_HUMAN,O60504,Vinexin,1.995,1.047,2.355,0.863,1.556,1.148,1.837,1.486
IMPA2_HUMAN,O14732,"Inositol monophosphatase 2",0.055,0.824,0.497,0.425,0.247,0.402,0.125,0.071
SH3G1_HUMAN,Q99961,Endophilin-A2,0.265,0.887,0.625,0.871,1.57,1.038,0.52,0.759
STK3_HUMAN,Q13188,"Serine/threonine-protein kinase 3",0.011,1.009,0.437,1.028,0.37,0.535,0.871,0.759
GMPPA_HUMAN,Q96IJ6,"Mannose-1-phosphate guanyltransferase alpha",0.261,0.515,1.107,0.511,0.506,0.286,0.643,0.294
HPRT_HUMAN,P00492,"Hypoxanthine-guanine phosphoribosyltransferase",0.34,0.773,0.291,1.585,0.745,0.643,0.608,0.592
S10AG_HUMAN,Q96FQ6,"Protein S100-A16",0.147,0.982,0.387,1.905,1.69,1.514,4.325,3.02
RL10_HUMAN,P27635,"60S ribosomal protein L10",0.211,0.964,0.973,0.166,0.337,1.542,0.871,1.086
SDPR_HUMAN,O95810,"Serum deprivation-response protein",0.04,0.643,1.18,0.506,0.479,0.072,0.847,0.673
CTRL_HUMAN,P40313,"Chymotrypsin-like protease CTRL-1",0.15,0.06,1.871,0.483,0.052,0.296,0.024,0.118
RS21_HUMAN,P63220,"40S ribosomal protein S21",0.048,0.692,3.664,0.064,0.291,0.718,0.711,0.121
TCEA1_HUMAN,P23193,"Transcription elongation factor A protein 1",0.072,0.692,1.191,0.705,0.787,0.437,0.895,0.417
SPEE_HUMAN,P19623,"Spermidine synthase",0.011,0.497,1.086,0.982,0.466,0.394,0.817,0.731
QORX_HUMAN,Q53FA7,"Quinone oxidoreductase PIG3",0.217,0.637,2.704,0.759,1.169,1.432,1.514,1.871
RL11_HUMAN,P62913,"60S ribosomal protein L11",0.511,0.904,0.15,3.311,0.18,0.817,0.194,0.445
BCAT1_HUMAN,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",0.18,0.506,0.331,3.467,0.592,0.313,0.394,0.685
UACA_HUMAN,Q9BZF9,"Uveal autoantigen with coiled-coil domains and ankyrin repeats",1.614,1.38,1.236,0.982,3.908,1.096,2.148,2.27
CPSF5_HUMAN,O43809,"Cleavage and polyadenylation specificity factor subunit 5",0.286,0.895,0.525,0.643,1.127,0.433,1.117,2.858
CNN1_HUMAN,P51911,Calponin-1,1.019,2.07,2.109,0.515,5.152,1.432,2.729,1.107
FIS1_HUMAN,Q9Y3D6,"Mitochondrial fission 1 protein",0.036,2.051,0.014,2.559,0.402,0.879,0.107,0.718
AOFA_HUMAN,P21397,"Amine oxidase [flavin-containing] A",0.038,1.117,0.256,2.07,0.291,0.347,0.592,0.904
STT3A_HUMAN,P46977,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A",0.129,0.643,0.718,1.905,0.191,0.425,0.263,0.53
CS010_HUMAN,Q969H8,"UPF0556 protein C19orf10",0.211,0.631,0.108,4.613,0.251,0.752,0.196,0.38
PURA2_HUMAN,P30520,"Adenylosuccinate synthetase isozyme 2",0.592,1.38,2.606,2.729,1.009,1.294,4.246,4.446
KLK1_HUMAN,P06870,Kallikrein-1,0.125,0.474,0.855,0.711,0.106,0.191,0.019,0.258
RAB3D_HUMAN,O95716,"Ras-related protein Rab-3D",0.111,1,0.501,1.076,0.033,0.515,0.631,0.692
PIGR_HUMAN,P01833,"Polymeric immunoglobulin receptor",5.105,2.606,1.754,0.661,1.528,4.529,3.436,1.159
ABHEB_HUMAN,Q96IU4,"Abhydrolase domain-containing protein 14B",0.107,1.009,0.429,0.745,0.637,0.724,0.256,0.649
SSRD_HUMAN,P51571,"Translocon-associated protein subunit delta",0.492,0.363,1.905,0.56,0.127,0.104,0.143,0.064
EIF3E_HUMAN,P60228,"Eukaryotic translation initiation factor 3 subunit E",0.705,0.619,1.236,0.637,0.787,0.773,0.425,0.322
ISOC1_HUMAN,Q96CN7,"Isochorismatase domain-containing protein 1",0.752,0.839,0.31,2.992,0.649,0.625,0.167,0.205
SAHH2_HUMAN,O43865,"Putative adenosylhomocysteinase 2",0.457,0.946,0.457,0.938,0.817,0.824,0.731,0.608
HSDL2_HUMAN,Q6YN16,"Hydroxysteroid dehydrogenase-like protein 2",0.201,0.794,1.38,0.929,0.398,0.328,0.817,0.614
MUC5A_HUMAN,P98088,Mucin-5AC,1.368,0.299,1.528,0.863,6.546,1.138,1.614,1.486
NDUS4_HUMAN,O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0.643,0.752,0.154,1.236,0.667,0.718,0.745,0.614
GEPH_HUMAN,Q9NQX3,Gephyrin,0.037,0.955,0.384,0.938,0.608,0.738,0.57,1.202
ANGT_HUMAN,P01019,Angiotensinogen,1.076,1.69,1.995,0.483,1.959,1.629,1.096,1.82
MCCA_HUMAN,Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",0.479,0.705,0.497,2.78,0.565,0.619,0.453,0.912
LV302_HUMAN,P80748,"Ig lambda chain V-III region LOI",0.057,1.009,0.92,1.271,2.754,1.6,1.837,3.532
P3H1_HUMAN,Q32P28,"Prolyl 3-hydroxylase 1",1.445,1.306,22.08,2.559,3.532,2.014,14.859,4.529
NIPS2_HUMAN,O75323,"Protein NipSnap homolog 2",0.019,0.445,8.954,0.47,0.373,0.211,0.912,0.643
SRS11_HUMAN,Q05519,"Serine/arginine-rich splicing factor 11",0.011,0.718,0.105,1.009,0.847,0.55,0.631,0.236
FMOD_HUMAN,Q06828,Fibromodulin,5.97,0.501,3.221,0.211,11.376,1.445,3.281,5.2
MIA3_HUMAN,Q5JRA6,"Melanoma inhibitory activity protein 3",5.058,2.63,1.368,1.247,0.36,6.486,0.895,0.766
LGMN_HUMAN,Q99538,Legumain,1.33,0.895,1.076,3.698,3.565,1.019,3.251,8.79
RS28_HUMAN,P62857,"40S ribosomal protein S28",0.049,0.37,0.156,1.148,0.179,0.268,0.302,0.745
CTRC_HUMAN,Q99895,Chymotrypsin-C,0.073,0.863,0.308,3.251,0.036,0.344,0.025,0.281
ACO13_HUMAN,Q9NPJ3,"Acyl-coenzyme A thioesterase 13",0.839,0.929,0.425,1.871,0.787,0.631,0.501,0.879
TRY3_HUMAN,P35030,Trypsin-3,0.022,0.661,0.488,0.661,0.086,0.177,0.391,0.794
KV404_HUMAN,P06314,"Ig kappa chain V-IV region B17",2.559,1.6,2.512,0.308,1.995,6.73,1.445,2.559
CHDH_HUMAN,Q8NE62,"Choline dehydrogenase, mitochondrial",0.011,1.047,0.497,1.406,0.449,0.57,0.625,0.991
IGLL5_HUMAN,B9A064,"Immunoglobulin lambda-like polypeptide 5",0.043,1.472,0.661,5.808,1.629,3.597,1.117,36.308
SC61B_HUMAN,P60468,"Protein transport protein Sec61 subunit beta",0.863,0.283,1.057,0.565,0.112,0.946,0.667,0.466
PXDC2_HUMAN,Q6UX71,"Plexin domain-containing protein 2",0.288,0.698,2.805,0.809,2.421,1.69,2.168,1.66
GPNMB_HUMAN,Q14956,"Transmembrane glycoprotein NMB",0.479,1.271,0.912,0.946,2.188,1.923,1.542,4.285
UFM1_HUMAN,P61960,"Ubiquitin-fold modifier 1",0.028,0.34,0.011,3.373,0.466,0.169,0.363,0.991
ARC1B_HUMAN,O15143,"Actin-related protein 2/3 complex subunit 1B",0.982,0.964,1.837,3.373,1.923,1.067,4.831,7.112
FRIL_HUMAN,P02792,"Ferritin light chain",0.685,2.582,0.207,2.109,1.803,3.048,1.406,4.018
K22E_HUMAN,P35908,"Keratin, type II cytoskeletal 2 epidermal",0.119,5.445,0.023,0.565,0.794,0.47,0.258,0.409
AMPM2_HUMAN,P50579,"Methionine aminopeptidase 2",0.106,0.608,0.759,0.773,0.766,0.466,0.52,0.649
CK054_HUMAN,Q9H0W9,"Ester hydrolase C11orf54",0.02,0.145,0.625,1.148,0.258,0.225,0.718,0.685
STK25_HUMAN,O00506,"Serine/threonine-protein kinase 25",0.366,0.904,0.122,0.787,1.854,0.263,0.347,1.191
IPO7_HUMAN,O95373,Importin-7,1.57,0.991,0.673,2.466,1.445,1.556,1.419,1.888
ODBA_HUMAN,P12694,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.655,0.773,0.655,1.706,0.581,0.78,0.592,0.738
BCAT2_HUMAN,O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.172,0.492,0.794,0.581,0.149,0.192,0.586,0.492
AIBP_HUMAN,Q8NCW5,"Apolipoprotein A-I-binding protein",0.043,0.904,0.263,1.57,0.52,0.511,0.219,0.973
RL24_HUMAN,P83731,"60S ribosomal protein L24",0.127,0.57,0.832,0.449,0.871,0.738,0.802,0.441
GALM_HUMAN,Q96C23,"Aldose 1-epimerase",0.111,1.159,0.085,2.312,0.718,0.466,0.095,0.079
SPCS3_HUMAN,P61009,"Signal peptidase complex subunit 3",0.014,0.57,1,2.443,0.256,0.809,0.55,0.225
S23IP_HUMAN,Q9Y6Y8,"SEC23-interacting protein",0.073,0.855,1.82,0.637,0.92,0.201,0.973,0.575
PGCP_HUMAN,Q9Y646,"Plasma glutamate carboxypeptidase",0.012,1.33,0.773,0.56,0.745,0.738,0.592,0.488
HG2A_HUMAN,P04233,"HLA class II histocompatibility antigen gamma chain",8.472,1.028,12.023,0.745,7.311,1.047,9.036,1.459
SYIM_HUMAN,Q9NSE4,"Isoleucyl-tRNA synthetase, mitochondrial",0.488,0.586,0.904,0.661,0.724,0.738,0.982,0.794
HDGR3_HUMAN,Q9Y3E1,"Hepatoma-derived growth factor-related protein 3",0.592,0.946,0.437,0.698,0.787,0.614,0.614,0.461
HINT1_HUMAN,P49773,"Histidine triad nucleotide-binding protein 1",0.286,0.581,0.483,0.655,0.745,0.718,1.057,1.247
KCD14_HUMAN,Q9BQ13,"BTB/POZ domain-containing protein KCTD14",0.457,0.679,0.261,1.995,0.35,0.31,0.353,0.637
ETFD_HUMAN,Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.258,0.649,1.57,0.855,0.631,0.445,0.344,0.169
SCRIB_HUMAN,Q14160,"Protein scribble homolog",0.118,0.421,0.92,0.895,0.429,0.766,0.855,0.863
NPS3A_HUMAN,Q9UFN0,"Protein NipSnap homolog 3A",0.466,0.685,0.137,2.399,0.565,0.356,0.437,0.151
PRP19_HUMAN,Q9UMS4,"Pre-mRNA-processing factor 19",0.249,0.501,0.92,0.099,1.107,0.912,0.964,1.202
C1QB_HUMAN,P02746,"Complement C1q subcomponent subunit B",3.221,2.291,6.982,0.043,2.831,3.342,3.281,3.698
IGJ_HUMAN,P01591,"Immunoglobulin J chain",1.556,2.291,1.236,0.441,3.221,7.656,1.66,1.923
SC11A_HUMAN,P67812,"Signal peptidase complex catalytic subunit SEC11A",1.528,1.169,0.991,1.69,0.288,0.637,0.938,0.525
ITA3_HUMAN,P26006,"Integrin alpha-3",2.911,1.009,19.77,1.009,1.259,1.445,14.191,1.009
CFAD_HUMAN,P00746,"Complement factor D",1.528,1,7.178,4.656,1.445,1.66,3.105,7.447
CECR5_HUMAN,Q9BXW7,"Cat eye syndrome critical region protein 5",0.474,0.794,0.56,0.581,0.565,0.809,0.461,1.803
REEP5_HUMAN,Q00765,"Receptor expression-enhancing protein 5",0.011,0.625,1,0.991,0.394,0.56,1.169,0.78
COL_HUMAN,P04118,Colipase,0.142,0.545,0.074,4.207,0.016,0.055,0.016,0.313
APOH_HUMAN,P02749,"Beta-2-glycoprotein 1",0.043,1.225,1.722,0.57,2.421,2.805,1.127,2.911
TRY6_HUMAN,Q8NHM4,"Putative trypsin-6",0.011,0.409,0.011,1.202,0.067,0.192,0.205,0.667
RUXG_HUMAN,P62308,"Small nuclear ribonucleoprotein G",0.131,0.839,0.37,0.52,0.55,0.363,0.787,1.445
ACS2L_HUMAN,Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",0.011,0.855,0.631,10.471,0.429,0.614,0.54,0.794
RCL_HUMAN,O43598,"Deoxyribonucleoside 5'-monophosphate N-glycosidase",3.221,0.78,1.294,0.991,0.492,0.299,0.102,0.175
AP2M1_HUMAN,Q96CW1,"AP-2 complex subunit mu",0.53,0.946,2.014,0.667,1.923,5.861,2.938,1.225
C1QT3_HUMAN,Q9BXJ4,"Complement C1q tumor necrosis factor-related protein 3",1.585,1.271,2.128,1.77,1.66,2.27,1.096,1.803
RL28_HUMAN,P46779,"60S ribosomal protein L28",0.535,0.649,0.718,0.421,0.809,1.738,1.419,1.236
AHNK2_HUMAN,Q8IVF2,"Protein AHNAK2",0.603,0.667,0.982,1.086,4.446,1.82,1.406,1.38
EPN1_HUMAN,Q9Y6I3,Epsin-1,1.888,1.871,1.854,1.69,1.754,1.5,0.982,2.421
UFC1_HUMAN,Q9Y3C8,"Ubiquitin-fold modifier-conjugating enzyme 1",0.03,0.92,0.57,1.282,0.55,0.619,0.55,0.457
ERLEC_HUMAN,Q96DZ1,"Endoplasmic reticulum lectin 1",0.011,0.745,0.955,0.946,0.417,0.667,0.973,0.92
CATE_HUMAN,P14091,"Cathepsin E",27.542,0.03,6.607,2.377,20.893,1.33,12.359,7.798
