Gene.Names,Protein.Descriptions,Entry,PDAC.Benign.fold.change.,t.test.pvalue
A1BG;DKFZp686F0970,Alpha-1B-,P04217,1.841489032,0.188958731
CPSB;CTSB;DKFZp686N0152,"Cathepsin B;cDNA",P07858,1.83862787,0.109717297
FBLN1;PP213;CTA-941F9.7-,"Isoform D of Fibulin-",P23142,1.821720637,0.17880965
ATP1B;ATP1B1;hCG_37798,"Isoform 1 of",P05026,1.814165548,0.266285449
PRO2640;RPS14;hCG_38621,"40S ribosomal protein",P62263,1.811954524,0.44346065
H2AFZ;H2AZ;H2AFV;H2AV;hCG_1,"18 kDa protein;Histone",P0C0S5,1.797043388,0.084438759
EPB41L2,"Band 4.1-like protein 2",O43491,1.795410998,0.57927241
CDABP0047;GAPD;GAPDH;OK/S,Glyceraldehyde-3-,P04406,1.790358027,0.165748371
PSAP;RP11-472K8.1-,"Prosaposin;Isoform Sap-",P07602,1.78729452,0.338563622
APOA2,"Apolipoprotein A-II",P02652,1.779841331,0.28031038
DIFF6;KIAA0158;NEDD5;SEPT2,"Isoform 2 of Septin-",Q15019,1.77427542,0.195596334
ITGAV;MSK8;VNRA;hCG_21243,"integrin alpha-V isoform",P06756,1.771596136,0.240787419
SRI,"Sorcin;sorcin isoform",P30626,1.761208547,0.550098737
RPN1;hCG_40106,Dolichyl-,P04843,1.753440827,0.318432885
CALM;CALM1;CALM2;CALM3;CAL,"21 kDa",P62158,1.748396408,0.350628772
TLP46;TXNDC5;UNQ364/PRO700;,"Thioredoxin domain-",Q8NBS9,1.72867346,0.339309967
ORM1;hCG_2020846;RP11-82I1.3-,"orosomucoid 1",P02763,1.722990999,0.903175317
CALR;CRTC,Calreticulin,P27797,1.716767508,0.168502041
MSN,Moesin;Putative,P26038,1.707422462,0.321464874
GILT;IFI30;hCG_1777151,Gamma-interferon-,P13284,1.696948928,0.772292312
AK1;RP11-203J24.1-,"Adenylate kinase",P00568,1.678096153,0.24333613
C1IN;C1NH;SERPING1,"cDNA FLJ58826, highly",P05155,1.670429711,0.342748139
A2MR;APR;LRP1;LRP,Prolow-density,Q07954,1.663128961,0.378296879
40787,"Isoform 1 of Septin-",Q9NVA2,1.660309163,0.390546594
NONO;NRB54;hCG_1990963,"Non-POU domain-",Q15233,1.647690576,0.281650221
GRP75;HSPA9;HSPA9B,"Stress-70 protein,",P38646,1.639016554,0.19199639
EC45;RPL15;TCBAP0781;hCG_199,"60S ribosomal protein",P61313,1.63535868,0.495729364
IGK@,"IGK@ protein",Q6P5S8,1.63452219,0.629666465
FER1L3;KIAA1207;MYOF,"Isoform 1 of",Q9NZM1,1.625170437,0.220050149
MACS;MARCKS;PRKCSL,"Myristoylated alanine-",P29966,1.624841903,0.32118965
CFR1;ESL1;GLG1;MG160;hCG_19,"Isoform 2 of Golgi",Q92896,1.6242449,0.23895311
HSC70;HSP73;HSPA10;HSPA8,"Isoform 1 of Heat shock",P11142,1.623556013,0.423063518
DDT;hCG_41098;DDTL,"14 kDa protein;D-",P30046,1.609646455,0.371564206
VIM;hCG_22621,Vimentin,P08670,1.604363921,0.275200672
ATP5A;ATP5A1;ATP5AL2;ATPM,"ATP synthase subunit",P25705,1.596262479,0.23261939
KIAA1011;NUA;SYNE2;DKFZp686,"Isoform 2 of Nesprin-",Q8WXH0,1.58727864,0.38580016
FBLN2;DKFZp586A1519,"fibulin 2 isoform a",P98095,1.574150171,0.208095956
TUBA1B,"Tubulin alpha-1B",P68363,1.570743265,0.205848097
COL1A1;hCG_29609,"Collagen alpha-1(I) chain",P02452,1.55232159,0.231596858
APOH;B2G1,Beta-2-glycoprotein,P02749,1.548741376,0.506953219
CAGB;CFAG;MRP14;S100A9;hCG_,"Protein S100-",P06702,1.547403318,0.253364635
LAMAN;MAN2B1;MANB,"Lysosomal alpha-",O00754,1.54242607,0.328147099
YWHAE;hCG_1988149,"14-3-3 protein",P62258,1.533174936,0.71011683
ITGB5;hCG_17803,"Integrin beta-5;21 kDa",P18084,1.520947603,0.835625148
C15orf13;TMSA;TPM1,"Isoform 3 of",P09493,1.512765268,0.286544451
CANPL2;CAPN2,"Calpain-2 catalytic",P17655,1.51022713,0.760328924
GRP78;HSPA5,"HSPA5 protein",P11021,1.510207771,0.379825158
ANX1;ANXA1;LPC1;hCG_17305;R,"Annexin A1;Annexin",P04083,1.505767467,0.512393727
ARHGAP34;FNBP2;KIAA0456;SRG,"SLIT-ROBO Rho GTPase-",O75044,1.477411501,0.322656797
CGI-44;SQRDL,Sulfide:quinone,Q9Y6N5,1.472892923,0.396414378
DAG1,Dystroglycan,Q14118,1.467531569,0.303845895
FKBP1A;FKBP1;FKBP12;hCG_2019,"FKBP1A protein;Peptidyl-",P62942,1.45923445,0.272966238
BCAP31;hCG_2004982;BAP31;DX,"B-cell receptor-",P51572,1.457275619,0.326077371
ACTN4,Alpha-actinin-4;cDNA,O43707,1.444823197,0.441150729
PGLYRP2;PGLYRPL;PGRPL;UNQ31,"Isoform 2 of N-",Q96PD5,1.421704052,0.359812684
CYFIP2;KIAA1168;PIR121;DKFZp7,"Isoform 1 of",Q96F07,1.413540464,0.960195839
FLN;FLN1;FLNA;FLJ00119;XX-,"Isoform 1 of Filamin-",P21333,1.413288872,0.226253286
HRG;hCG_16148;DKFZp779H162,Histidine-rich,P04196,1.413094488,0.259602667
CLH17;CLTC;CLTCL2;KIAA0034;hC,"Isoform 1 of Clathrin",Q00610,1.410416535,0.338260042
CANPL1;CAPN1;PIG30,"Calpain-1 catalytic",P07384,1.40373054,0.339248961
SPTA2;SPTAN1;DKFZp564P0562,"Isoform 3 of Spectrin",Q13813,1.393044302,0.298322222
AGP2;ORM2;hCG_2020847;RP11-,Alpha-1-acid,P19652,1.386342459,0.425628739
BND7;EPB72;STOM,"Erythrocyte band 7",P27105,1.382149063,0.743616806
OK/SW-cl.11;RAP1B,"Ras-related protein Rap-",P61224,1.374745044,0.929671662
HLA-DRB1;HLA-DRB3;HLA-,"similar to major",P01912,1.374296327,0.886991649
NSFL1C;UBXN2C;RP4-776F14.2-,"Isoform 3 of NSFL1",Q9UNZ2,1.359107207,0.565162801
ALDH2;ALDM,Aldehyde,P05091,1.349528008,0.359521039
ECP;RNASE3;RNS3,"Eosinophil cationic",P12724,1.343058277,0.720454546
CFIM68;CPSF6,"Isoform 2 of Cleavage",Q16630,1.342120873,0.992108504
DCN;SLRR1B;DKFZp686J19238;hC,"Isoform A of",P07585,1.341623736,0.320222389
CYPA;PPIA,"Peptidyl-prolyl cis-trans",P62937,1.340267632,0.317345575
SH3BGRL;hCG_14922,"SH3 domain-binding",O75368,1.334540798,0.344727864
CyAT1;IGL@;IGLV1-44;V1-16,"hypothetical protein",A0A0B4J1U1,1.327432285,0.783050907
PDIA6;TXNDC7;hCG_22033;P5,"Isoform 2 of Protein",Q15084,1.325259677,0.810823291
FSCN1;FAN1;HSN;SNL,"FSCN1 protein",Q16658,1.324904635,0.479549896
hCG_39412;LAMP2,lysosomal-associated,P13473,1.324159781,0.371370908
HLA-A;DADB-123D8.3-002;DAMC-,"Major histocompatibility",NA,1.315932507,0.430474403
CHCHD4;MIA40,"Isoform 2 of",Q8N4Q1,1.314073417,0.449848845
LAMP1,Lysosome-associated,P11279,1.302122153,0.303059938
GLIF;MIF;MMIF,"Macrophage migration",P14174,1.301495217,0.855017492
GNAI2;GNAI2B;WUGSC:H_LUCA1,Galphai2,P04899,1.298568499,0.623100531
CAPZB;hCG_41078;RP4-657E11.7-,"Isoform 2 of F-actin-",P47756,1.290870451,0.454867064
PARK7,"Protein DJ-1",Q99497,1.284653985,0.623806873
ACO2;RP3-347H13.8-002,"Aconitase 2,",Q99798,1.277498978,0.824046878
CRYA2;CRYAB,"Alpha-crystallin B",P02511,1.277130409,0.631073432
GMFB,"Glia maturation factor,",P60983,1.274937416,0.503409228
BASP1;NAP22;hCG_36921,"Isoform 1 of Brain acid",P80723,1.273164775,0.419656365
EEF2;EF2,"Elongation factor",P13639,1.2472436,0.229992635
GCG,Putative,P01275,1.241244553,0.748073483
AAT;PI;PRO0684;PRO2209;SERPI,"Isoform 1 of Alpha-1-",P01009,1.233152729,0.509627651
HSPC114;MDS014;RBM8;RBM8A,"Isoform 1 of RNA-",Q9Y5S9,1.229374281,0.832574786
YWHAQ,"14-3-3 protein",P27348,1.228936281,0.807848728
SSBP;SSBP1;hCG_2014251;tcag7.,"Single-stranded DNA-",Q04837,1.228568992,0.585022117
SNRPD1;SNRPD2,"Small nuclear",P62316,1.226949484,0.462914917
SLC17A4,"SLC17A4 protein",Q9Y2C5,1.226155738,0.899465582
ANT3;CDABP0051;SLC25A6;hCG_,"ADP/ATP translocase",P12236,1.215142992,0.646904433
BLU;UBE2N;UBE2NL,Ubiquitin-conjugating,P61088,1.212539604,0.394265528
E1BAP5;HNRNPUL1;HNRPUL1,"Isoform 1 of",Q9BUJ2,1.210312505,0.755891925
MPO,"Isoform H7 of",P05164,1.206921348,0.550312048
CYB5B;CYB5M;OMB5;DKFZp686,"cytochrome b5 outer",O43169,1.205834478,0.659714167
ANX2;ANX2L4;ANXA2;CAL1H;LPC,"Isoform 2 of Annexin",P07355,1.205254061,0.696912402
C5orf8;LMAN2,"Vesicular integral-",Q12907,1.1994017,0.338941644
HLA-B;HLAB;B-1510;HLA-,"48 kDa protein;MHC",P01889,1.195482183,0.508748532
DKFZp686L19235,Putative,Q6MZV6,1.192210378,0.846004655
KIAA1027;TLN;TLN1;RP11-,Talin-1,Q9Y490,1.190822709,0.407384779
ARC41;ARPC1B;hCG_19475;tcag7,"Actin-related protein",O15143,1.187056187,0.728343884
CD63;MLA1;TSPAN30,"CD63 antigen;CD63",P08962,1.186971518,0.363422247
GPX3;GPXP,"Glutathione peroxidase",P22352,1.18309069,0.514009988
DDX2B;EIF4A2;EIF4F;hCG_178404,"Isoform 2 of Eukaryotic",Q14240,1.177522003,0.850696574
H3.3A;H3.3B;H3F3;H3F3A;H3F3B;,"Histone H3;Histone",P84243,1.175409575,0.935009628
DCOH2;DCOHM;PCBD2,Pterin-4-alpha-,Q9H0N5,1.173142334,0.555102928
"Ov/Br septin;SEPT9","septin 9 isoform",Q9UHD8,1.172066556,0.713453336
CLIC4;hCG_24047;RP11-108J9.1-,"Chloride intracellular",Q9Y696,1.171257131,0.563058943
CDC5L;KIAA0432;PCDC5RP,"Cell division cycle 5-like",Q99459,1.161440772,0.422645791
SOD1;hCG_1748590,"Superoxide dismutase",P00441,1.15981055,0.975072031
H2AFC;H2AFD;H2AFI;H2AFN;H2A,"Histone H2A type",P0C0S8,1.155764343,0.841629499
COL12A1;COL12A1L;RP1-,"Isoform 1 of Collagen",Q99715,1.15427492,0.753333804
SPTB2;SPTBN1;hCG_17370,"Isoform Long of Spectrin",Q01082,1.148496491,0.421576695
MAGP1;MFAP2;RP1-37C10.2-003,Microfibrillar-associated,P55001,1.14562698,0.648583959
IDH1;PICD;hCG_15937,Isocitrate,O75874,1.139767843,0.715733791
LSP1;WP34,Lymphocyte-specific,P33241,1.131518002,0.542165851
APOA1,"Apolipoprotein A-",P02647,1.130265193,0.507519998
SAP114;SF3A1,"Splicing factor 3A",Q15459,1.127142623,0.819401993
SMT3B;SMT3H2;SUMO2;SMT3H4,Putative,P61956,1.114628342,0.790052392
MBN;PRTN3,Myeloblastin,P24158,1.109933558,0.570968604
CAV;CAV1;hCG_39088;tcag7.24,"Isoform Alpha of",Q03135,1.108623723,0.89260336
FN;FN1;DKFZp686O13149;DKFZp,"Isoform 1 of",P02751,1.108225119,0.791836327
ALB;GIG20;GIG42;PRO0903;PRO1,"Isoform 1 of Serum",P02768,1.104525945,0.986615166
CAGA;CFAG;MRP8;S100A8;hCG_1,"Protein S100-A8",P05109,1.100807345,0.979863485
ANX5;ANXA5;ENX2;PP4;hCG_373,"Annexin A5;Putative",P08758,1.100135904,0.917834221
"MYH10;MYH10 variant","Isoform 3 of Myosin-",P35580,1.098272837,0.90057065
LCP1;PLS2,Plastin-2,P13796,1.09487496,0.735186566
HNRNPC;HNRPC;hCG_41209;hCG,"Isoform C2 of",P07910,1.09382184,0.594276923
DES;hCG_14764;tmp_locus_29,Desmin,P17661,1.082825751,0.554237332
CBR;CBR1;CRN,"Carbonyl reductase",P16152,1.074932997,0.745156614
IGKC,"Ig kappa chain C region",P01834,1.074120655,0.460618195
DLST;DLTS;hCG_22359;DLSTP;E2k,Dihydrolipoyllysine-,P36957,1.073962514,0.906134827
hCG_2001850;NME1-,"Nucleoside diphosphate",P22392,1.072020517,0.880605418
HNRPQ;NSAP1;SYNCRIP;RP1-,"Isoform 1 of",O60506,1.068298984,0.802475339
HSPC275;HSPC334;KIAA0905;SEC,"Isoform 8 of Protein",O94979,1.064827428,0.732435472
PPM1C;PPM1G;hCG_21229,"Protein phosphatase 1G",O15355,1.062884573,0.525165871
MIG10;OK/SW-,Phosphoglycerate,P00558,1.056825662,0.719957606
KIAA0735;SV2B,>IPI:IPI00006631.6|SWI,Q7L1I2,1.054402695,0.989142014
APE;APEX;APEX1;APX;HAP1;REF1;,"DNA-(apurinic or",P27695,1.046427295,0.997161573
ACTC;ACTC1;ACTA;ACTA1;RP5-,"Actin, alpha cardiac",P68032,1.043968384,0.703700093
CN2;CNDP2;CPGL;PEPA;FLJ00064,"Isoform 1 of Cytosolic",Q96KP4,1.039152224,0.503662331
hCG_25936;TPI1;TPI,triosephosphate,P60174,1.037766284,0.839405186
LDHB;hCG_24788,"L-lactate dehydrogenase",P07195,1.026898511,0.42693498
CD92;CDW92;CTL1;SLC44A1,"Isoform 1 of Choline",Q8WWI5,1.023008134,0.614894598
AGRIN;AGRN,Agrin,O00468,1.01730636,0.61641211
CORO1C;CRNN4,Coronin-1C_i3,Q9ULV4,1.011293032,0.829493693
CPPI;CTSC,"Dipeptidyl peptidase 1",P53634,1.010409754,0.737721025
DNASE2;DNASE2A;DNL2,Deoxyribonuclease-2-,O00115,1.006384794,0.495502197
ACTDP;DSN;DSTN;hCG_2019292,"Destrin;destrin isoform",P60981,0.997489862,0.606048686
APCS;PTX2,"Serum amyloid P-",P02743,0.9671774,0.552030041
IGK@,"IGK@ protein;IGK@",Q6P5S8,0.965173807,0.988856202
ECM1,"Isoform 4 of",Q16610,0.964577672,0.833999981
BDK;KNG;KNG1;hCG_2021397,"Isoform LMW of",P01042,0.961430515,0.762141426
ADAMTS18;ADAMTS21,"Isoform 1 of A",Q8TE60,0.960928541,0.926305637
ARMET;ARP;MANF,"mesencephalic astrocyte-",P55145,0.959539131,0.735378243
PFN1;hCG_32691,Profilin-1,P07737,0.956147492,0.716778956
CGI-,"Isoform 1 of",Q8WX93,0.952397968,0.88006584
DKFZp686I15212;FLJ00385;IGHG3,"59 kDa protein;57 kDa",P01860,0.939902726,0.901706768
C13orf2;KCTD12;KIAA1778;PFET1,"BTB/POZ domain-",Q96CX2,0.939106998,0.849906626
DCOH;PCBD;PCBD1,Pterin-4-alpha-,P61457,0.937186917,0.786481663
GLUD;GLUD1;hCG_1993805,Glutamate,P00367,0.934958717,0.609687112
ACTR3;ARP3;hCG_26669,"Actin-related protein 3",P61158,0.934129555,0.559083186
GSN;hCG_27454;RP11-477J21.1-,"Isoform 1 of",P06396,0.92411245,0.888802982
PLS3;hCG_18485,Plastin-3;plastin3,P13797,0.909745229,0.755042739
HIBADH;hCG_39034;NS5ATP1;tca,3-hydroxyisobutyrate,P31937,0.909453858,0.894200615
MYH13,Myosin-13,Q9UKX3,0.909253562,0.829809559
HSPA1;HSPA1A;HSPA1B;DAAP-,"Heat shock 70 kDa",P0DMV8,0.903440544,0.919074997
H4/A;H4/B;H4/C;H4/D;H4/E;H4/,"Histone H4",P62805,0.89824602,0.496485929
F13A;F13A1,"Coagulation factor XIII A",P00488,0.895502341,0.959496178
"GC;vitamin D binding protein","Isoform 1 of Vitamin D-",P02774,0.889759976,0.882426808
PBP;PEBP;PEBP1,Phosphatidylethanolami,P30086,0.878670374,0.771290875
PPP1CB;PPP1CC;PPP1A;PPP1CA,Serine/threonine-,P62140,0.876971672,0.933101681
FABP5,"Fatty acid-binding",Q01469,0.873894956,0.587118801
AMBP;HCP;ITIL,"Protein AMBP;cDNA",P02760,0.872310897,0.70768234
G22P1;XRCC6;CTA-216E10.7-,"ATP-dependent DNA",P12956,0.868704219,0.667116156
CAP;CAP1;hCG_2033246;RP11-,"Isoform 1 of Adenylyl",Q01518,0.858619046,0.659102156
ACAA2,Putative,P42765,0.853681657,0.41912359
FTH;FTH1;FTHL6;OK/SW-,"Ferritin heavy chain",P02794,0.849877712,0.824115887
BIGH3;TGFBI;hCG_41400,"Transforming growth",Q15582,0.840713728,0.904230046
,"25 kDa protein;25 kDa",NA,0.839361479,0.776784463
SNRPD3,Putative,P62318,0.83878041,0.962745029
,"Ig kappa chain V-III",A2IPI2,0.833301251,0.357361118
FBN;FBN1,Fibrillin-1,P35555,0.832616333,0.462081127
CTSS;hCG_39378,"Cathepsin S;cDNA",P25774,0.829384299,0.675278853
ANXA4;hCG_39482;PIG28;ANX4;,"annexin IV;Annexin A4",P09525,0.828661737,0.903851748
HPX,Hemopexin,P02790,0.825705858,0.792466302
,"Ig heavy chain V-I region",P23083,0.821607432,0.512914746
PRI;RNH;RNH1,"Ribonuclease inhibitor",P13489,0.821317108,0.471106098
CTL2;PSEC0210;SLC44A2,"Isoform 1 of Choline",Q8IWA5,0.820756209,0.843694534
SUSD2,"Sushi domain-containing",Q9UGT4,0.799501904,0.685208662
MAP4,"Isoform 1 of",P27816,0.787354532,0.640645673
ACTN1,Alpha-actinin-1,P12814,0.786252838,0.426278702
DKFZp686C11235,Putative,Q6MZV7,0.772355903,0.658901797
MCAM;MUC18,"Isoform 1 of Cell surface",P43121,0.765929468,0.721018602
CYB5;CYB5A,"Isoform 1 of",P00167,0.765716425,0.576391457
AAG4;APOJ;CLI;CLU;KUB1,"Isoform 2 of",P10909,0.764190438,0.794419262
LAMA4,"Isoform 1 of Laminin",Q16363,0.757754143,0.335300077
GAA,"Lysosomal alpha-",P10253,0.754843476,0.822851631
CST3;hCG_22365,Cystatin-C,P01034,0.754246463,0.682772449
THY1;hCG_14965,"Thy-1 membrane",P04216,0.752651278,0.586288614
ERP70;ERP72;PDIA4,"Protein disulfide-",P13667,0.750663854,0.434811964
DKFZp686G11190;DKFZp686O01,Putative,Q6MZQ6,0.746865924,0.939785227
CYB5R3;DIA1;Z93241.1-006,"cytochrome b5",P00387,0.742812931,0.292646488
MT1G;MT1K;MT1M;MT1X;CES1;,"Isoform 1 of",P13640,0.742187385,0.48434475
IGLC1;IGL@;DKFZp667J0810;V1-,"IGL@ protein;IGL@",P0CG04,0.741406367,0.29817796
CLN2;GIG1;TPP1;UNQ267/PRO30,"Isoform 1 of Tripeptidyl-",O14773,0.731113159,0.977750148
GNB2L1;HLC7;PIG21;hCG_19060,"Guanine nucleotide-",P63244,0.722581489,0.688463191
SOD3,"Extracellular superoxide",P08294,0.721537506,0.303152344
ACAT;ACAT1;MAT,Acetyl-CoA,P24752,0.720869494,0.342224757
HLA-DRA;HLA-DRA1;DADB-,"HLA class II",P01903,0.707547279,0.996474737
LRG;LRG1;hCG_2004087;HMFT17,"Leucine-rich alpha-2-",P02750,0.702604634,0.313484991
CDABP0006;PGAM1;PGAMA;hCG,Phosphoglycerate,P18669,0.702278088,0.897557589
DKFZp686J11235;DKFZp686G212,"cDNA FLJ14473 fis,",Q6MZW0,0.695174297,0.133008025
CORO1;CORO1A,"Coronin-1A;40 kDa",P31146,0.693843879,0.674555067
F2,Prothrombin,P00734,0.691751521,0.881498027
AOC3;VAP1,"Membrane primary",Q16853,0.687331429,0.481069541
COL14A1;UND,"Isoform 1 of Collagen",Q05707,0.686491295,0.886442516
G2AN;GANAB;KIAA0088,"cDNA FLJ61290, highly",Q14697,0.683466579,0.657225154
,">P00761 SWISS-",NA,0.683382507,0.937426078
CFH;HF;HF1;HF2,"Isoform 1 of",P08603,0.680948868,0.323351049
OGN;OIF;SLRR3A;hCG_31130;RP1,"cDNA FLJ59205, highly",P20774,0.675353855,0.626654266
HC8;PSC8;PSMA3,"Isoform 1 of",P25788,0.671049361,0.995680923
HBA1;HBA2;hCG_1745306,"Hemoglobin subunit",P69905,0.671031919,0.205673167
CRYZ;hCG_21668,Quinone,Q08257,0.668420119,0.599482359
CDC10;SEPT7;Nbla02942;DKFZp6,"Isoform 1 of Septin-",Q16181,0.663223703,0.47046257
AKAP12;AKAP250;DKFZp686M04,"Isoform 1 of A-kinase",Q02952,0.663161952,0.780882264
HP,"Haptoglobin;42 kDa",P00738,0.661135207,0.292394397
IGKV4-1,"Similar to Ig kappa chain",P06312,0.654772203,0.586210022
,"cDNA FLJ57046, highly",B7Z5V6,0.65441002,0.889896193
FOLR2,"Folate receptor beta",P14207,0.652886785,0.259920433
HBB;beta-globin,"Hemoglobin subunit",P68871,0.652127714,0.278784623
RPL12;hCG_21173,"Isoform 1 of 60S",P30050,0.650975631,0.800121573
PRO1400;TF;hCG_2023558,Serotransferrin,P02787,0.647820079,0.460649334
VDAC2;RP11-375G3.1-010;RP11-,"Isoform 1 of Voltage-",P45880,0.64662529,0.719542484
APOE,"Apolipoprotein E;MRNA",P02649,0.645146783,0.838978275
HBD;hCG_1641001,"Hemoglobin subunit",P02042,0.634824183,0.26162105
AOP2;KIAA0106;PRDX6,Peroxiredoxin-6,P30041,0.629784071,0.300368964
INPP1;hCG_24794,"Inositol polyphosphate 1-",P49441,0.621656269,0.626804072
SND1;TDRD11,"Staphylococcal nuclease",Q7KZF4,0.620416176,0.884872028
"PALB;TTR;transthyretin/ TTR",Transthyretin;Transthyr,P02766,0.616388495,0.493045438
,">P01966 SWISS-",NA,0.616128557,0.203624111
LSM3;MDS017,"U6 snRNA-associated",P62310,0.612743654,0.431606294
GOT1;GIG18,Aspartate,P17174,0.609694551,0.930721741
SIAE;YSG2,"Isoform 1 of Sialate O-",Q9HAT2,0.607127676,0.630761117
COL1A2,"Collagen alpha-2(I) chain",P08123,0.606300848,0.497605989
NKEFB;PRDX2;TDPX1;hCG_17248,Peroxiredoxin-2;cDNA,P32119,0.590833891,0.499373474
PCOLCE;PCPE1;tcag7.602,"Procollagen C-",Q15113,0.588435306,0.844757778
SOD2;RP1-56L9.2-,"Superoxide dismutase",P04179,0.584271372,0.948688042
FHL2;AAG11;DRAL;SLIM3;hCG_28,"FHL2 isoform 5;Four and",Q14192,0.579142423,0.343570264
LCN2;NGAL;RP11-395P17.6-,Putative,P80188,0.566659427,0.595558148
CRMP2;DPYSL2;ULIP2;hCG_1716,Dihydropyrimidinase-,Q16555,0.5653398,0.649129818
TMSB4X;TMSL3;TB4X;THYB4;TMS,"TMSB4X protein",P62328,0.563990201,0.868553054
SNRPD1,"Small nuclear",P62314,0.563548681,0.743285573
DNAJ2;DNAJA1;HDJ2;HSJ2;HSPF4,>IPI:IPI00012535.1|SWI,P31689,0.559333905,0.365905841
LAP3;LAPEP;PEPS,"Isoform 1 of Cytosol",P28838,0.558846389,0.761385766
PGLS,-6,O95336,0.556894554,0.432188214
WDR1;hCG_19377,Putative,O75083,0.556487901,0.14417952
ERP44;KIAA0573;TXNDC4;UNQ53,"Endoplasmic reticulum",Q9BS26,0.54885486,0.411800001
DDX1;hCG_15914,"ATP-dependent RNA",Q92499,0.54394235,0.734439936
HLA-DQA1;HLA-DQA2;DQA1-,"major histocompatibility",P01909,0.542567223,0.678680025
TTN;hCG_2006859,"Isoform 2 of Titin;Titin,",Q8WZ42,0.534288195,0.474429883
HLA-DRB1;HLA-DRB2;HLA-,"HLA class II",P01911,0.530097439,0.323256782
VCL;RP11-178G16.3-002,"Isoform 2 of",P18206,0.528888652,0.260909606
CP;hCG_1781201,Ceruloplasmin;cDNA,P00450,0.528048293,0.375463137
AHSG;FETUA;PRO2743,"cDNA FLJ55606, highly",P02765,0.526859,0.528429672
VDAC;VDAC1;hCG_1980917,Voltage-dependent,P21796,0.525390854,0.754608732
CFI;IF,"Complement factor",P05156,0.525223,0.841783046
TUBA1A;TUBA3;TUBA2;TUBA3C;T,"Tubulin alpha-1A",Q71U36,0.523339337,0.203782663
IGHV,"Anti-(ED-B) scFV",A2KBB9,0.520468015,0.474930996
FGA;hCG_1744100,"Isoform 1 of Fibrinogen",P02671,0.511471674,0.23219474
"FTL;FTL variant",Ferritin;Ferritin,P02792,0.502567584,0.21582666
FAEES3;GST3;GSTP1,"Glutathione S-",P09211,0.500635019,0.335275375
DPT,Dermatopontin,Q07507,0.490948291,0.367072551
PSMA5;hCG_39916,"Proteasome subunit",P28066,0.488943093,0.678740348
C21orf33;HES1;KNPI,"Isoform Long of ES1",P30042,0.487553352,0.871872826
CTNNA1;hCG_1782385,"Isoform 2 of Catenin",P35221,0.480735086,0.860723842
TPSAB1;TPSB2;tryptaseC;TPS2;TP,"TPSB2 protein;Tryptase",Q15661,0.475928369,0.196943539
DLD;GCSL;LAD;PHE3,Dihydrolipoyl,P09622,0.466372083,0.789900755
EIF3A;EIF6;ITGB4BP;OK/SW-,"Eukaryotic translation",P56537,0.465163085,0.751786315
HSPG2,"Basement membrane-",P98160,0.463450805,0.539692707
CCDC58,"Coiled-coil domain-",Q4VC31,0.461451685,0.96311034
IRAK2,"Interleukin-1 receptor-",O43187,0.460355494,0.587930797
DECR;DECR1,"2,4-dienoyl-CoA",Q16698,0.459252327,0.73187975
LF;LTF;GIG12,"cDNA FLJ78440, highly",P02788,0.451177008,0.293271278
EEF1G;EF1G;PRO1608;hCG_2039,"cDNA FLJ56389, highly",P26641,0.435778788,0.496375027
IGHG2;DKFZp686C15213,Putative,P01859,0.431806371,0.566247664
GW112;OLFM4;UNQ362/PRO698,Olfactomedin-4,Q6UX06,0.427905416,0.625843388
LMP7;PSMB5i;PSMB8;RING10;Y2;,"Isoform 1 of",P28062,0.42670289,0.758872782
NID2,"Isoform 1 of Nidogen-",Q14112,0.421813193,0.191428695
COL6A3,"Isoform 1 of Collagen",P12111,0.413456552,0.073247507
,Putative,NA,0.410497614,0.08091
GRIM12;KDRF;TXNRD1;hCG_1812,"Isoform 1 of Thioredoxin",Q16881,0.409237731,0.757514253
FN1,"fibronectin 1 isoform 2",P02751,0.407221647,0.565882538
MAGP2;MFAP5;hCG_25217,Microfibrillar-associated,Q13361,0.403660512,0.482338986
HLA-DQA1/DRA,"MHC class II antigen",Q7YPT8,0.399730773,0.991505189
HSPB6,"cDNA FLJ51906, highly",O14558,0.397486189,0.23638514
MDH1;MDHA,Malate,P40925,0.390038373,0.431508387
DANCE;FBLN5;UNQ184/PRO210;,Fibulin-5,Q9UBX5,0.389488771,0.209181849
F12,"Coagulation factor XII",P00748,0.38515097,0.797716217
PPP2CA;hCG_16586;PPP2CB;hCG,Serine/threonine-,P67775,0.384736685,0.429383389
PLG;DKFZp779M0222,Plasminogen,P00747,0.372814835,0.082635266
C9,Complement,P02748,0.370899612,0.505613005
,">P02769 SWISS-",NA,0.370487958,0.224010216
ANX6;ANXA6;hCG_39152,"Annexin A6;annexin VI",P08133,0.368163938,0.164186513
TAL;TALDO;TALDO1;TALDOR;hCG,Transaldolase,P37837,0.367078309,0.746038466
CGI-,"14 kDa phosphohistidine",Q9NRX4,0.35769991,0.160825559
ITIH4;IHRP;ITIHL1;PK120;PRO185,"ITIH4 protein;Isoform 1",Q14624,0.354204098,0.149646731
HE1;NPC2,"cDNA FLJ59142, highly",P61916,0.350367299,0.490014304
"HLA-DPB1;MHC DPB1;XXbac-","MHC class II lymphocyte",P04440,0.346985743,0.500855391
ASAH;ASAH1;HSD33;HSD-,N-acylsphingosine,Q13510,0.343931797,0.608914793
CLEC13E;ENDO180;KIAA0709;MR,"C-type mannose",Q9UBG0,0.340047765,0.665063103
