"Gene Name","Accession Number","Uniprot Accession","Hypoxia Heavy","Normoxia Heavy"
PSMD6,PSMD6_HUMAN,Q15008,22.43,22.9
EMG1,NEP1_HUMAN,Q92979,23.09,22.9
ACO1,ACOC_HUMAN,P21399,22.63,22.91
ADSS,PURA2_HUMAN,P30520,22.73,22.91
PSMD7,PSMD7_HUMAN,P51665,22.07,22.92
PSMB2,PSB2_HUMAN,P49721,22.19,22.92
42256,"SEPT9_HUMAN (+3)",Q9UHD8,22.59,22.92
SLC25A3,"MPCP_HUMAN (+1)",Q00325,22.7,22.92
RPL19,RL19_HUMAN,P84098,22.75,22.92
PGK1,PGK1_HUMAN,P00558,25.3,22.92
ATP5J,"ATP5J_HUMAN (+1)",P18859,22.82,22.93
PSMB3,PSB3_HUMAN,P49720,22.93,22.93
HDLBP,VIGLN_HUMAN,Q00341,23.21,22.93
EMD,EMD_HUMAN,P50402,23.26,22.93
PSME1,PSME1_HUMAN,Q06323,23.33,22.93
FAM213A,"F213A_HUMAN (+1)",Q9BRX8,23.35,22.93
EIF5,IF5_HUMAN,P55010,21.6,22.94
EIF2S1,IF2A_HUMAN,P05198,22.46,22.95
NSFL1C,"NSF1C_HUMAN (+2)",Q9UNZ2,22.7,22.95
TFAM,TFAM_HUMAN,Q00059,22.86,22.95
MATR3,MATR3_HUMAN,P43243,22.94,22.95
EPB41L2,"E41L2_HUMAN (+1)",O43491,22.63,22.96
MAP4,MAP4_HUMAN,P27816,23.18,22.96
RAB5B,RAB5B_HUMAN,P61020,23.78,22.96
HSD17B12,DHB12_HUMAN,Q53GQ0,22.97,22.97
ANXA4,ANXA4_HUMAN,P09525,23.58,22.97
SCP2,"NLTP_HUMAN (+5)",P22307,23.72,22.97
CD2AP,CD2AP_HUMAN,Q9Y5K6,23.85,22.97
FSCN1,FSCN1_HUMAN,Q16658,24.36,22.97
RPS18,RS18_HUMAN,P62269,21.95,22.98
42249,SEPT2_HUMAN,Q15019,23.36,22.98
MYO1E,MYO1E_HUMAN,Q12965,23.96,22.98
HAT1,"HAT1_HUMAN (+1)",O14929,22.59,22.99
PTGES2,PGES2_HUMAN,Q9H7Z7,22.71,22.99
EIF4A3,IF4A3_HUMAN,P38919,23.7,22.99
SF3B2,SF3B2_HUMAN,Q7Z627,24.36,22.99
ECHDC1,"ECHD1_HUMAN (+2)",Q9NTX5,22.36,23
DDOST,OST48_HUMAN,P39656,23.39,23
NUP93,"NUP93_HUMAN (+1)",Q8N1F7,22.32,23.01
KPNB1,IMB1_HUMAN,Q14974,22.71,23.01
PA2G4,PA2G4_HUMAN,Q9UQ80,22.14,23.02
EIF3A,EIF3A_HUMAN,Q14152,22.18,23.02
CCT2,TCPB_HUMAN,P78371,22.3,23.02
SEC61A1,S61A1_HUMAN,P61619,23.19,23.02
GRHPR,GRHPR_HUMAN,Q9UBQ7,22.63,23.03
NOMO3,"NOMO3_HUMAN (+2)",P69849,22.77,23.03
RBM8A,"RBM8A_HUMAN (+1)",Q9Y5S9,23.48,23.03
IMP3,IMP3_HUMAN,Q9NV31,25.34,23.03
RPS14,RS14_HUMAN,P62263,22.06,23.04
BRIX1,BRX1_HUMAN,Q8TDN6,22.68,23.04
CPOX,HEM6_HUMAN,P36551,23.8,23.04
RBM14,RBM14_HUMAN,Q96PK6,22.78,23.05
CACYBP,CYBP_HUMAN,Q9HB71,22.97,23.05
HINT1,HINT1_HUMAN,P49773,23.06,23.05
RPL28,RL28_HUMAN,P46779,21.22,23.06
SFXN3,SFXN3_HUMAN,Q9BWM7,23.34,23.06
GSTM1,"GSTM1_HUMAN (+3)",P09488,23.37,23.06
TXNDC12,TXD12_HUMAN,O95881,23.42,23.06
PFAS,PUR4_HUMAN,O15067,21.99,23.07
PSMD12,PSD12_HUMAN,O00232,22.31,23.07
U2AF2,"U2AF2_HUMAN (+1)",P26368,22.86,23.07
PDIA3,PDIA3_HUMAN,P30101,23.77,23.07
CCT3,TCPG_HUMAN,P49368,22.39,23.08
PRDX6,PRDX6_HUMAN,P30041,22.51,23.08
EIF3C,"EIF3C_HUMAN (+1)",Q99613,22.76,23.08
DYNC1H1,DYHC1_HUMAN,Q14204,23.12,23.08
SMC3,SMC3_HUMAN,Q9UQE7,24.75,23.08
NUDT5,NUDT5_HUMAN,Q9UKK9,22.18,23.09
PSMD11,"PSD11_HUMAN (+1)",O00231,22.76,23.09
AK1,KAD1_HUMAN,P00568,23.7,23.09
ETFB,ETFB_HUMAN,P38117,23.84,23.09
PTRF,PTRF_HUMAN,Q6NZI2,23.9,23.09
NOC2L,NOC2L_HUMAN,Q9Y3T9,22.6,23.1
DDX18,DDX18_HUMAN,Q9NVP1,23,23.1
HNRNPR,HNRPR_HUMAN,O43390,23.26,23.1
GPI,G6PI_HUMAN,P06744,24.3,23.1
NAP1L4,"NP1L4_HUMAN (+1)",Q99733,23.4,23.11
SEL1L,SE1L1_HUMAN,Q9UBV2,24.52,23.12
MTCH2,MTCH2_HUMAN,Q9Y6C9,22.99,23.13
DPY19L1,D19L1_HUMAN,Q2PZI1,23.15,23.13
ESD,ESTD_HUMAN,P10768,22.56,23.14
OCIAD2,OCAD2_HUMAN,Q56VL3,23,23.14
ETFA,"ETFA_HUMAN (+1)",P13804,23.05,23.14
STX7,STX7_HUMAN,O15400,23.73,23.14
PSMC5,"PRS8_HUMAN (+1)",P62195,22.64,23.15
MTHFD1,C1TC_HUMAN,P11586,22.67,23.15
SF3B3,SF3B3_HUMAN,Q15393,22.96,23.15
PRPF19,PRP19_HUMAN,Q9UMS4,23.17,23.15
SLC3A2,"4F2_HUMAN (+3)",P08195,23.45,23.15
ACSL3,ACSL3_HUMAN,O95573,23.78,23.15
RPL17,RL17_HUMAN,P18621,22.3,23.16
RPL26L1,"RL26L_HUMAN (+1)",Q9UNX3,22.5,23.17
RCL1,RCL1_HUMAN,Q9Y2P8,22.53,23.17
CCAR2,"CCAR2_HUMAN (+1)",Q8N163,23.16,23.18
MCM6,MCM6_HUMAN,Q14566,23.25,23.18
XPNPEP1,"XPP1_HUMAN (+1)",Q9NQW7,23.88,23.18
TBRG4,"TBRG4_HUMAN (+1)",Q969Z0,22.84,23.19
STIP1,STIP1_HUMAN,P31948,22.95,23.19
SH3GL1,SH3G1_HUMAN,Q99961,24.31,23.19
ANXA7,"ANXA7_HUMAN (+1)",P20073,22.34,23.2
NOP2,"NOP2_HUMAN (+1)",P46087,22.86,23.2
TWF1,"TWF1_HUMAN (+1)",Q12792,23.15,23.2
LONP1,LONM_HUMAN,P36776,23.38,23.2
CAPNS1,CPNS1_HUMAN,P04632,23.39,23.2
PCBP1,PCBP1_HUMAN,Q15365,23.41,23.2
CAPRIN1,CAPR1_HUMAN,Q14444,23.43,23.2
ELAVL1,ELAV1_HUMAN,Q15717,23.54,23.2
UQCRC2,QCR2_HUMAN,P22695,22.24,23.21
POR,NCPR_HUMAN,P16435,23.1,23.21
SYNCRIP,HNRPQ_HUMAN,O60506,23.12,23.21
ACTR2,ARP2_HUMAN,P61160,23.35,23.21
NDUFV2,NDUV2_HUMAN,P19404,23.59,23.21
RPS13,RS13_HUMAN,P62277,22.38,23.22
SRPRB,SRPRB_HUMAN,Q9Y5M8,22.53,23.22
DYNC1I2,DC1I2_HUMAN,Q13409,23.06,23.22
RDX,"RADI_HUMAN (+1)",P35241,23.19,23.22
TPD52L2,"TPD54_HUMAN (+2)",O43399,23.57,23.22
IDH3A,"IDH3A_HUMAN (+1)",P50213,22.6,23.23
PSMC3,PRS6A_HUMAN,P17980,22.66,23.23
GTPBP4,NOG1_HUMAN,Q9BZE4,22.68,23.23
PAICS,PUR6_HUMAN,P22234,23.08,23.23
FAM3C,FAM3C_HUMAN,Q92520,23.55,23.23
UGP2,"UGPA_HUMAN (+1)",Q16851,24.62,23.23
TMX3,TMX3_HUMAN,Q96JJ7,23.42,23.24
PRDX5,"PRDX5_HUMAN (+1)",P30044,23.89,23.24
SDCBP,SDCB1_HUMAN,O00560,24.19,23.24
API5,API5_HUMAN,Q9BZZ5,23.86,23.26
LASP1,"LASP1_HUMAN (+1)",Q14847,24.53,23.26
RPS7,RS7_HUMAN,P62081,22.32,23.27
SRSF1,SRSF1_HUMAN,Q07955,23.13,23.27
EIF3I,EIF3I_HUMAN,Q13347,23.27,23.27
TRAP1,TRAP1_HUMAN,Q12931,22.84,23.28
RANBP2,RBP2_HUMAN,P49792,22.99,23.28
NUP205,NU205_HUMAN,Q92621,22.57,23.29
TMEM33,TMM33_HUMAN,P57088,22.97,23.29
ESYT1,"ESYT1_HUMAN (+1)",Q9BSJ8,23.58,23.29
HNRNPH3,"HNRH3_HUMAN (+1)",P31942,23.87,23.29
DDX17,"DDX17_HUMAN (+2)",Q92841,25.22,23.29
GMPS,GUAA_HUMAN,P49915,22.67,23.3
HYOU1,HYOU1_HUMAN,Q9Y4L1,22.85,23.3
XPO1,XPO1_HUMAN,O14980,23.23,23.3
THRAP3,TR150_HUMAN,Q9Y2W1,23.67,23.3
TXNL1,TXNL1_HUMAN,O43396,22.52,23.31
GNPDA1,GNPI1_HUMAN,P46926,22.84,23.31
STRAP,STRAP_HUMAN,Q9Y3F4,22.88,23.31
UQCRC1,QCR1_HUMAN,P31930,22.96,23.31
MARS,SYMC_HUMAN,P56192,22.98,23.31
SNRPE,RUXE_HUMAN,P62304,23.3,23.31
SEC22B,SC22B_HUMAN,O75396,23.63,23.31
GSTO1,GSTO1_HUMAN,P78417,22.94,23.32
GATC,GATC_HUMAN,B3KSU7,23.24,23.32
CORO1C,"COR1C_HUMAN (+2)",Q9ULV4,23.27,23.32
MYO1C,"MYO1C_HUMAN (+2)",O00159,24.04,23.32
LDHA,LDHA_HUMAN,P00338,25.64,23.32
MRPS23,RT23_HUMAN,Q9Y3D9,22.07,23.34
CTPS1,PYRG1_HUMAN,P17812,22.41,23.34
PDCD11,RRP5_HUMAN,Q14690,22.56,23.34
RANGAP1,RAGP1_HUMAN,P46060,22.83,23.34
ASNS,"ASNS_HUMAN (+2)",P08243,24.24,23.34
ARHGAP1,RHG01_HUMAN,Q07960,23.24,23.35
CYC1,CY1_HUMAN,P08574,23.41,23.35
TMEM165,TM165_HUMAN,Q9HC07,23.66,23.35
YWHAE,1433E_HUMAN,P62258,23.29,23.36
UGDH,UGDH_HUMAN,O60701,23.3,23.36
SPTLC1,SPTC1_HUMAN,O15269,23.86,23.36
SERPINH1,SERPH_HUMAN,P50454,24.72,23.36
HNRNPAB,ROAA_HUMAN,Q99729,22.83,23.37
PCMT1,"PIMT_HUMAN (+1)",P22061,23.16,23.37
PRKCSH,"GLU2B_HUMAN (+1)",P14314,23.29,23.37
SEC11A,SC11A_HUMAN,P67812,23.31,23.37
DPP3,DPP3_HUMAN,Q9NY33,23.36,23.37
ACADVL,ACADV_HUMAN,P49748,23.55,23.37
RALY,"RALY_HUMAN (+1)",Q9UKM9,23.74,23.37
PRPF8,PRP8_HUMAN,Q6P2Q9,23.8,23.37
RPS2,RS2_HUMAN,P15880,22.24,23.38
RPS11,RS11_HUMAN,P62280,22.5,23.38
FH,"FUMH_HUMAN (+1)",P07954,22.7,23.38
ACO2,ACON_HUMAN,Q99798,23.16,23.38
ERLIN1,ERLN1_HUMAN,O75477,23.22,23.38
MRTO4,MRT4_HUMAN,Q9UKD2,23.23,23.38
FTL,FRIL_HUMAN,P02792,24.07,23.38
RPL36,RL36_HUMAN,Q9Y3U8,22.31,23.39
ZMPSTE24,FACE1_HUMAN,O75844,22.56,23.39
HMGB1,HMGB1_HUMAN,P09429,22.92,23.39
KIF5B,KINH_HUMAN,P33176,23.19,23.39
STX12,STX12_HUMAN,Q86Y82,23.56,23.39
DDX39A,DX39A_HUMAN,O00148,22.89,23.4
NIFK,MK67I_HUMAN,Q9BYG3,22.34,23.41
RPS26,RS26_HUMAN,P62854,22.89,23.41
UGGT1,"UGGG1_HUMAN (+1)",Q9NYU2,23.47,23.41
VAT1,VAT1_HUMAN,Q99536,23.55,23.41
ERP29,ERP29_HUMAN,P30040,23.64,23.41
STT3A,STT3A_HUMAN,P46977,23.87,23.41
RRAS,RRAS_HUMAN,P10301,24.55,23.41
RPL5,RL5_HUMAN,P46777,22.3,23.42
RPL6,RL6_HUMAN,Q02878,22.41,23.42
UBE2L3,UB2L3_HUMAN,P68036,22.63,23.42
ACTR1A,ACTZ_HUMAN,P61163,23.4,23.42
COPA,"COPA_HUMAN (+1)",P53621,23.51,23.42
RPS23,RS23_HUMAN,P62266,22.51,23.43
HIST1H1B,H15_HUMAN,P16401,23.24,23.43
SOAT1,"SOAT1_HUMAN (+2)",P35610,23.39,23.43
PRDX3,"PRDX3_HUMAN (+1)",P30048,23.45,23.43
USP5,"UBP5_HUMAN (+1)",P45974,23.45,23.43
HEATR1,HEAT1_HUMAN,Q9H583,22.55,23.44
FAM129B,"NIBL1_HUMAN (+1)",Q96TA1,23.76,23.44
AKR1C1,AK1C1_HUMAN,Q04828,24.15,23.44
CTSD,CATD_HUMAN,P07339,24.53,23.44
FEN1,FEN1_HUMAN,P39748,21.69,23.45
RPL21,RL21_HUMAN,P46778,22.18,23.45
ATIC,PUR9_HUMAN,P31939,22.88,23.45
FBL,FBRL_HUMAN,P22087,23.39,23.45
ATP6V1A,VATA_HUMAN,P38606,23.63,23.45
FLNB,FLNB_HUMAN,O75369,24.27,23.45
RPSA,RSSA_HUMAN,P08865,22.71,23.46
ALYREF,THOC4_HUMAN,Q86V81,22.71,23.46
PSMD3,PSMD3_HUMAN,O43242,22.73,23.46
FAM162A,F162A_HUMAN,Q96A26,26.29,23.46
PABPC1,PABP1_HUMAN,P11940,22.56,23.47
PSMA5,PSA5_HUMAN,P28066,22.9,23.47
CBX3,CBX3_HUMAN,Q13185,23.33,23.47
MAP1B,MAP1B_HUMAN,P46821,23.58,23.47
UBA6,UBA6_HUMAN,A0AVT1,24.32,23.47
RPL29,RL29_HUMAN,P47914,22.05,23.48
TAGLN2,TAGL2_HUMAN,P37802,24.65,23.48
EIF3M,EIF3M_HUMAN,A8K7X4,22.55,23.49
SSB,LA_HUMAN,P05455,22.61,23.49
CCT8,TCPQ_HUMAN,P50990,22.79,23.49
ILF2,ILF2_HUMAN,Q12905,23.17,23.49
TUBB,TBB5_HUMAN,P07437,23.28,23.49
CKAP4,CKAP4_HUMAN,Q07065,23.76,23.49
RPN2,RPN2_HUMAN,P04844,23.88,23.49
PFDN2,PFD2_HUMAN,Q9UHV9,22.87,23.5
SND1,SND1_HUMAN,Q7KZF4,23.41,23.5
NAPA,SNAA_HUMAN,P54920,23.79,23.5
HNRNPH1,HNRH1_HUMAN,P31943,24,23.5
YWHAH,1433F_HUMAN,Q04917,24.03,23.5
NAA15,NAA15_HUMAN,Q9BXJ9,21.92,23.51
BCCIP,"BCCIP_HUMAN (+1)",Q9P287,21.98,23.51
TUBB3,TBB3_HUMAN,Q13509,23.52,23.51
SON,"SON_HUMAN (+4)",P18583,23.7,23.51
VCL,"VINC_HUMAN (+1)",P18206,23.82,23.51
CAPN1,CAN1_HUMAN,P07384,24.56,23.51
HNRNPK,"HNRPK_HUMAN (+2)",P61978,23.49,23.52
ATP5O,ATPO_HUMAN,P48047,23.6,23.52
PPP2R1A,2AAA_HUMAN,P30153,23.85,23.52
G6PD,G6PD_HUMAN,P11413,23.92,23.52
USP14,"UBP14_HUMAN (+1)",P54578,23.97,23.52
PRKCDBP,PRDBP_HUMAN,Q969G5,25.05,23.52
CAND1,CAND1_HUMAN,Q86VP6,23.29,23.53
ATL3,ATLA3_HUMAN,Q6DD88,23.47,23.54
ALDH18A1,"P5CS_HUMAN (+1)",P54886,23.6,23.54
DNAJC9,DNJC9_HUMAN,Q8WXX5,23.61,23.54
PTPN11,"PTN11_HUMAN (+1)",Q06124,23.93,23.54
PSMA3,"PSA3_HUMAN (+1)",P25788,23.18,23.55
HNRNPA2B1,ROA2_HUMAN,P22626,23.59,23.55
CAST,"ICAL_HUMAN (+3)",P20810,23.81,23.55
ATP2B4,"AT2B4_HUMAN (+7)",P23634,23.57,23.56
UQCRFS1,UCRI_HUMAN,P47985,23.85,23.56
RPL3,RL3_HUMAN,P39023,22.33,23.57
CCT6A,TCPZ_HUMAN,P40227,22.86,23.57
ZYX,ZYX_HUMAN,Q15942,23.17,23.57
EIF3K,EIF3K_HUMAN,Q9UBQ5,22.67,23.58
TPM4,TPM4_HUMAN,P67936,23.87,23.58
TPR,TPR_HUMAN,P12270,23.89,23.58
MLEC,MLEC_HUMAN,Q14165,23.98,23.59
TWF2,TWF2_HUMAN,Q6IBS0,24.02,23.59
NPEPPS,PSA_HUMAN,P55786,24.39,23.59
GDI2,GDIB_HUMAN,P50395,22.94,23.6
TEX10,"TEX10_HUMAN (+1)",Q9NXF1,22.96,23.6
PPM1G,PPM1G_HUMAN,O15355,23.28,23.6
PSMA2,PSA2_HUMAN,P25787,23.45,23.6
GSTK1,"GSTK1_HUMAN (+1)",Q9Y2Q3,24.01,23.6
HSD17B10,HCD2_HUMAN,Q99714,22.83,23.61
TALDO1,TALDO_HUMAN,P37837,23.23,23.61
HADHA,ECHA_HUMAN,P40939,23.28,23.61
LCP1,PLSL_HUMAN,P13796,23.42,23.61
TUBB6,TBB6_HUMAN,Q9BUF5,23.59,23.61
HNRNPM,"HNRPM_HUMAN (+1)",P52272,23.6,23.61
ACOT13,"ACO13_HUMAN (+1)",Q9NPJ3,24.06,23.61
QARS,SYQ_HUMAN,P47897,23.01,23.62
RPL38,RL38_HUMAN,P63173,23.1,23.62
TPM3,TPM3_HUMAN,P06753,23.66,23.62
AHNAK,AHNK_HUMAN,Q09666,23.82,23.62
CTTN,"SRC8_HUMAN (+1)",Q14247,23.7,23.63
TCP1,TCPA_HUMAN,P17987,23.05,23.64
DHX9,DHX9_HUMAN,Q08211,23.62,23.64
ABHD10,ABHDA_HUMAN,Q9NUJ1,23.84,23.64
CALD1,"CALD1_HUMAN (+5)",Q05682,24.49,23.64
RPLP0,RLA0_HUMAN,P05388,22.48,23.65
RPS17L,RS17L_HUMAN,P0CW22,22.62,23.65
COX4I1,COX41_HUMAN,P13073,23.21,23.65
MDH2,MDHM_HUMAN,P40926,23.44,23.65
SF3B1,SF3B1_HUMAN,O75533,23.49,23.65
SLC1A5,AAAT_HUMAN,Q15758,23.59,23.65
GARS,SYG_HUMAN,P41250,23.61,23.65
IDH1,IDHC_HUMAN,O75874,23.85,23.65
CSTB,CYTB_HUMAN,P04080,24.39,23.65
RPL13A,RL13A_HUMAN,P40429,22.61,23.66
BANF1,BAF_HUMAN,O75531,22.73,23.66
RPS4X,RS4X_HUMAN,P62701,22.76,23.66
TUBB4B,TBB4B_HUMAN,P68371,23.35,23.66
GANAB,GANAB_HUMAN,Q14697,24.2,23.66
PPA1,IPYR_HUMAN,Q15181,22.66,23.67
YARS,SYYC_HUMAN,P54577,23.14,23.67
PDIA4,PDIA4_HUMAN,P13667,23.83,23.67
GLRX3,GLRX3_HUMAN,O76003,23.15,23.68
MCM7,MCM7_HUMAN,P33993,23.18,23.68
CCDC47,CCD47_HUMAN,Q96A33,23.74,23.68
CUTA,"CUTA_HUMAN (+2)",O60888,23.86,23.69
NSDHL,NSDHL_HUMAN,Q15738,23.89,23.69
PSMD1,"PSMD1_HUMAN (+1)",Q99460,23.03,23.7
PSMB5,PSB5_HUMAN,P28074,23.32,23.7
FASN,FAS_HUMAN,P49327,23.74,23.7
PPIA,PPIA_HUMAN,P62937,24.04,23.7
RPL7A,RL7A_HUMAN,P62424,22.52,23.71
RPL23,RL23_HUMAN,P62829,22.82,23.71
MRPL49,RM49_HUMAN,Q13405,23.32,23.71
SFPQ,SFPQ_HUMAN,P23246,23.42,23.71
HPRT1,HPRT_HUMAN,P00492,23.48,23.71
HIST1H2AC,H2A1C_HUMAN,O00777,24.16,23.71
TOP2A,TOP2A_HUMAN,P11388,24.49,23.71
TSN,TSN_HUMAN,Q15631,23.28,23.72
PGLS,6PGL_HUMAN,O95336,23.31,23.72
H2AFY,"H2AY_HUMAN (+2)",O75367,23.58,23.72
BAZ1B,"BAZ1B_HUMAN (+1)",Q9UIG0,24.23,23.72
MGST3,MGST3_HUMAN,O14880,24.58,23.72
EEF1G,EF1G_HUMAN,P26641,22.33,23.73
PTPLAD1,HACD3_HUMAN,Q9P035,23.07,23.73
ARPC2,ARPC2_HUMAN,O15144,24.38,23.73
NT5E,"5NTD_HUMAN (+1)",P21589,24.18,23.74
PLOD1,PLOD1_HUMAN,Q02809,24.74,23.74
PSMC2,PRS7_HUMAN,P35998,23.18,23.75
TARS,"SYTC_HUMAN (+1)",P26639,23.73,23.75
PTBP1,"PTBP1_HUMAN (+2)",P26599,23.77,23.75
IQGAP1,IQGA1_HUMAN,P46940,23.9,23.75
TUFM,EFTU_HUMAN,P49411,23.75,23.76
CDC42,CDC42_HUMAN,P60953,23.89,23.76
RPS19,RS19_HUMAN,P39019,23.1,23.77
RPL9,"RL9_HUMAN (+1)",P32969,23.37,23.77
MCM3,MCM3_HUMAN,P25205,23.41,23.77
ATP5J2,"ATPK_HUMAN (+1)",P56134,23.74,23.77
PDHA1,"ODPA_HUMAN (+3)",P08559,23.82,23.77
ANXA6,ANXA6_HUMAN,P08133,24.41,23.77
RRP12,RRP12_HUMAN,Q5JTH9,22.35,23.78
RTCB,RTCB_HUMAN,Q9Y3I0,22.37,23.78
RPL22,RL22_HUMAN,P35268,23.11,23.78
CHP1,CHP1_HUMAN,Q99653,23.14,23.78
CSE1L,"XPO2_HUMAN (+1)",P55060,23.52,23.78
SF3B14,PM14_HUMAN,Q9Y3B4,24.12,23.78
DYNLRB1,DLRB1_HUMAN,Q9NP97,24.18,23.78
SORD,DHSO_HUMAN,B2R655,23.54,23.79
CBR1,CBR1_HUMAN,P16152,23.68,23.79
HSPH1,"HS105_HUMAN (+1)",Q92598,23.76,23.79
SNRNP200,U520_HUMAN,O75643,24.06,23.79
CFL2,COF2_HUMAN,Q9Y281,24.09,23.79
ATP6V1E1,VATE1_HUMAN,P36543,24.24,23.79
RPL7,RL7_HUMAN,P18124,22.65,23.8
RPS16,RS16_HUMAN,P62249,22.9,23.8
VCP,TERA_HUMAN,P55072,23.65,23.8
HIST1H2AG,H2A1_HUMAN,P02261,23.71,23.8
SMC1A,SMC1A_HUMAN,Q14683,23.8,23.8
MVP,MVP_HUMAN,Q14764,24.19,23.8
HNRNPA0,ROA0_HUMAN,Q13151,24.43,23.8
CAV1,CAV1_HUMAN,Q03135,25.42,23.8
EIF4A1,IF4A1_HUMAN,P60842,23.38,23.81
MCM5,MCM5_HUMAN,P33992,23.56,23.81
HIST3H3,"H31T_HUMAN (+3)",B2R5K3,23.97,23.81
H2AFX,H2AX_HUMAN,P16104,23.89,23.82
HNRNPA3,ROA3_HUMAN,P51991,23.89,23.82
PCNA,PCNA_HUMAN,P12004,24,23.82
GNAI2,GNAI2_HUMAN,P04899,24.15,23.82
TLN1,TLN1_HUMAN,Q9Y490,24.16,23.82
NASP,"NASP_HUMAN (+1)",P49321,24.22,23.82
HSD17B4,"DHB4_HUMAN (+2)",P51659,24.52,23.82
LMNA,LMNA_HUMAN,P02545,24.64,23.82
TPI1,TPIS_HUMAN,P60174,25.48,23.82
RPL31,RL31_HUMAN,P62899,22.98,23.83
RPLP2,RLA2_HUMAN,P05387,23,23.83
CORO1B,COR1B_HUMAN,Q9BR76,23.49,23.83
PARK7,PARK7_HUMAN,Q99497,23.74,23.83
NARS,SYNC_HUMAN,O43776,23.74,23.83
XPOT,XPOT_HUMAN,O43592,23.9,23.83
WDR1,WDR1_HUMAN,O75083,24.21,23.83
LRPPRC,LPPRC_HUMAN,P42704,23.1,23.84
NOC3L,NOC3L_HUMAN,Q8WTT2,23.3,23.84
EFHD2,EFHD2_HUMAN,Q96C19,23.55,23.84
PGRMC1,PGRC1_HUMAN,O00264,24.08,23.84
ELOVL5,"ELOV5_HUMAN (+1)",Q9NYP7,24.1,23.84
OTUB1,OTUB1_HUMAN,Q96FW1,24.54,23.84
RPL12,RL12_HUMAN,P30050,22.79,23.85
SRSF10,"SRS10_HUMAN (+5)",O75494,23.47,23.85
MSN,MOES_HUMAN,P26038,23.98,23.85
PDIA6,"PDIA6_HUMAN (+1)",Q15084,24.19,23.85
ANXA5,ANXA5_HUMAN,P08758,24.31,23.85
RPS29,RS29_HUMAN,P62273,23.11,23.86
IPO5,IPO5_HUMAN,O00410,23.41,23.86
MMGT1,MMGT1_HUMAN,Q8N4V1,23.69,23.86
CALR,CALR_HUMAN,P27797,24.28,23.86
DDX21,DDX21_HUMAN,Q9NR30,23.09,23.87
NAT10,NAT10_HUMAN,Q9H0A0,23.39,23.87
NUDT21,CPSF5_HUMAN,O43809,23.74,23.87
NRP1,NRP1_HUMAN,O14786,23.88,23.87
CS,CISY_HUMAN,O75390,23.07,23.88
ATP5F1,AT5F1_HUMAN,P24539,23.51,23.88
SAFB,"SAFB1_HUMAN (+2)",Q15424,24.34,23.88
HNRNPUL2,HNRL2_HUMAN,Q1KMD3,24.42,23.88
NUMA1,"NUMA1_HUMAN (+1)",Q14980,24.67,23.88
HNRNPD,"HNRPD_HUMAN (+3)",Q14103,23.65,23.89
MDH1,"MDHC_HUMAN (+1)",P40925,23.8,23.89
ITGA3,"ITA3_HUMAN (+1)",P26006,23.92,23.89
AK2,"KAD2_HUMAN (+2)",P54819,24.04,23.89
CD44,CD44_HUMAN,P16070,24.16,23.89
LRP1,LRP1_HUMAN,Q07954,24.84,23.89
HSPB1,HSPB1_HUMAN,P04792,25.02,23.9
PSMA6,PSA6_HUMAN,P60900,23.39,23.91
ANXA11,ANX11_HUMAN,P50995,23.84,23.91
ACLY,ACLY_HUMAN,P53396,23.99,23.91
LAMTOR1,LTOR1_HUMAN,Q6IAA8,24.07,23.91
DUSP3,DUS3_HUMAN,P51452,24.18,23.91
GFPT1,"GFPT1_HUMAN (+1)",Q06210,24.53,23.91
RPS20,RS20_HUMAN,P60866,23.12,23.92
NPC1,NPC1_HUMAN,O15118,23.96,23.92
VDAC3,"VDAC3_HUMAN (+1)",Q9Y277,24.39,23.92
SRSF9,SRSF9_HUMAN,Q13242,24.78,23.92
HSPA4,HSP74_HUMAN,P34932,23.43,23.93
PSMD2,PSMD2_HUMAN,Q13200,23.59,23.93
GSN,"GELS_HUMAN (+2)",P06396,24.77,23.93
PSAP,"SAP_HUMAN (+2)",P07602,21.66,23.94
VAPA,"VAPA_HUMAN (+1)",Q9P0L0,23.8,23.94
TMED10,TMEDA_HUMAN,P49755,24.05,23.94
SPTAN1,SPTN1_HUMAN,Q13813,24.2,23.94
RSL1D1,RL1D1_HUMAN,O76021,23.21,23.95
FKBP4,FKBP4_HUMAN,Q02790,23.46,23.95
AARS,SYAC_HUMAN,P49588,24.21,23.95
ARPC4,ARPC4_HUMAN,P59998,24.39,23.95
PRDX4,PRDX4_HUMAN,Q13162,24.61,23.95
PGM1,PGM1_HUMAN,P36871,25.05,23.95
RPL18,RL18_HUMAN,Q07020,23.37,23.96
IMPDH2,IMDH2_HUMAN,P12268,23.47,23.96
TRA2B,TRA2B_HUMAN,P62995,23.65,23.96
KHDRBS1,"KHDR1_HUMAN (+1)",Q07666,23.69,23.96
RAB2A,RAB2A_HUMAN,P61019,24.16,23.96
ARF3,ARF3_HUMAN,P61204,24.34,23.96
CAP1,CAP1_HUMAN,Q01518,24.45,23.96
PHB2,PHB2_HUMAN,Q99623,23.21,23.97
DTYMK,"KTHY_HUMAN (+1)",P23919,23.49,23.97
RARS,SYRC_HUMAN,P54136,23.69,23.97
GLUD1,DHE3_HUMAN,P00367,23.93,23.97
PSMB4,PSB4_HUMAN,P28070,23.85,23.98
GNG12,GBG12_HUMAN,Q9UBI6,24,23.98
CANX,CALX_HUMAN,P27824,24.01,23.98
