"Gene name",Entry,"log2 fold change"
PPM1G,O15355,NA
PPP1CA,P62136,0.31613
PPP1CB,P62140,0.370894
PPP1CC,P36873,0.072569
PPP2R1A,P30153,0.035213
PRDX1,Q06830,0.801913
PRDX2,P32119,1.185343
PRDX3,P30048,-0.056877
PRDX4,Q13162,0.894752
PRDX5,P30044,0.507503
PRDX6,P30041,1.457673
PRKAR2A,P13861,-0.254206
PRKCSH,P14314,0.261017
PRKDC,P78527,0.895755
PRKRA,O75569,0.218924
PRMT1,Q99873,1.410677
PRNP,P04156,-1.211732
PRPF19,Q9UMS4,-0.778898
PRPF40A,O75400,0.303787
PRPF6,O94906,-0.859507
PRPF8,Q6P2Q9,0.226904
PRPS1,P60891,1.902184
PSAP,P07602,-0.135331
PSAT1,Q9Y617,1.392863
PSMA1,P25786,1.062347
PSMA2,P25787,0.833667
PSMA3,P25788,1.155383
PSMA4,P25789,1.489205
PSMA5,P28066,0.513183
PSMA6,P60900,0.843341
PSMA7,O14818,0.381433
PSMA8,Q8TAA3,NA
PSMB3,P49720,1.123891
PSMC1,P62191,1.929468
PSMC2,P35998,1.684304
PSMC3,P17980,1.863922
PSMC4,P43686,2.084334
PSMC5,P62195,2.026234
PSMC6,P62333,2.284981
PSMD1,Q99460,2.313823
PSMD11,O00231,1.966321
PSMD12,O00232,1.767054
PSMD13,Q9UNM6,1.669927
PSMD14,O00487,1.126633
PSMD2,Q13200,2.460013
PSMD3,O43242,1.54422
PSMD6,Q15008,2.337809
PSMD8,P48556,1.249291
PSME1,Q06323,NA
PSME3,P61289,NA
PSPC1,Q8WXF1,-0.001164
PTBP1,P26599,-0.304469
PTGES3,Q15185,1.548424
PTPLAD1,Q9P035,-0.069779
PTPLB,Q6Y1H2,-0.168647
PTPN1,P18031,-0.459988
PTRH2,Q9Y3E5,-0.455635
PTTG1IP,P53801,1.550656
PUF60,Q9UHX1,-1.25533
PWP2,Q15269,-0.363237
PYCR1,P32322,0.088721
PYCR2,Q96C36,0.046976
PYGB,P11216,2.020711
QARS,P47897,1.586683
QPRT,Q15274,2.158062
RAB10,P61026,0.006889
RAB11A,P62491,-0.131059
RAB11B,Q15907,0.735983
RAB14,P61106,0.198862
RAB18,Q9NP72,-0.10592
RAB1A,P62820,-0.166884
RAB1B,Q9H0U4,-0.422195
RAB21,Q9UL25,-0.447371
RAB2A,P61019,-0.313103
RAB35,Q15286,-0.169338
RAB5A,P20339,0.808697
RAB5B,P61020,NA
RAB5C,P51148,-0.229156
RAB6A,P20340,-0.27813
RAB7A,P51149,-0.258562
RAB8A,P61006,-0.425313
RAC1,P63000,0.488149
RAC2,P15153,0.722532
RAD50,Q92878,1.358006
RALA,P11233,-0.797421
RALY,Q9UKM9,-0.848287
RAN,P62826,1.891858
RANBP1,P43487,1.76342
RANBP2,P49792,0.333449
RANGAP1,P46060,0.277553
RAP1B,P61224,-0.013892
RARS,P54136,1.521031
RBBP4,Q09028,-0.293728
RBM14,Q96PK6,-0.279721
RBM17,Q96I25,-1.496719
RBM28,Q9NW13,-0.751697
RBM34,P42696,-0.791135
RBM39,Q14498,0.059498
RBM4,Q9BWF3,-0.241325
RBM4B,Q9BQ04,0.860507
RBMX,P38159,-1.352796
RCC1,P18754,-0.874116
RCN1,Q15293,1.127379
RCN2,Q14257,NA
RDH11,Q8TC12,0.000969
RDX,P35241,0.149904
REEP5,Q00765,-0.681031
REEP6,Q96HR9,0.760372
RETSAT,Q6NUM9,0.316237
RHOA,P61586,0.65563
RHOT2,Q8IXI1,-0.978708
RNPS1,Q15287,-0.920103
RP1BL,A6NIZ1,0.250093
RPL10,P27635,0.360377
RPL10A,P62906,-0.776712
RPL11,P62913,-0.032724
RPL12,P30050,-0.724591
RPL13,P26373,-0.57315
RPL13A,P40429,-0.025909
RPL13AL,Q6NVV1,-0.146828
RPL14,P50914,0.134629
RPL15,P61313,-0.184095
RPL17,P18621,-0.044952
RPL18,Q07020,-0.145242
RPL18A,Q02543,0.002081
RPL19,P84098,-1.133376
RPL21,P46778,-0.519492
RPL22,P35268,-0.267209
RPL23,P62829,-0.130515
RPL23A,P62750,-1.027525
RPL24,P83731,-0.696623
RPL26,P61254,-0.161444
RPL26L1,Q9UNX3,-0.256054
RPL27,P61353,-0.165013
RPL27A,P46776,-0.182801
RPL28,P46779,-0.336826
RPL29,P47914,-1.101126
RPL3,P39023,0.126034
RPL30,P62888,-0.340828
RPL31,P62899,-0.779704
RPL32,P62910,0.030594
RPL34,P49207,-0.514056
RPL35,P42766,0.466384
RPL35A,P18077,-0.199315
RPL36,Q9Y3U8,-0.76198
RPL36A,P83881,-1.1136
RPL36AL,Q969Q0,-1.332251
RPL37,P61927,-1.084567
RPL37A,P61513,-1.247887
RPL38,P63173,1.02128
RPL4,P36578,-0.249052
RPL5,P46777,-0.029294
RPL6,Q02878,-0.336205
RPL7,P18124,0.059732
RPL7A,P62424,-0.245587
RPL7L1,Q6DKI1,-0.7002
RPL8,P62917,-0.418352
"RPL9; RPL9P7; RPL9P8; RPL9P9",P32969,0.312613
RPLP0,P05388,0.00619
RPLP1,P05386,0.174105
RPLP2,P05387,-0.056334
RPN1,P04843,-0.189466
RPN2,P04844,-0.185142
RPS10,P46783,0.241937
RPS11,P62280,0.053988
RPS12,P25398,-0.07094
RPS13,P62277,-0.217944
RPS14,P62263,0.084856
RPS15,P62841,-0.799709
RPS15A,P62244,-0.105991
RPS16,P62249,0.664502
RPS17L,P0CW22,-0.090903
RPS18,P62269,0.182197
RPS19,P39019,-0.639018
RPS2,P15880,0.469442
RPS20,P60866,-0.320019
RPS21,P63220,-1.12411
RPS23,P62266,-0.129987
RPS24,P62847,-0.238867
RPS25,P62851,0.025257
RPS26,P62854,-0.185678
RPS27,P42677,-0.158291
RPS27A,P62979,-0.627227
RPS27L,Q71UM5,0.035561
RPS28,P62857,-1.161084
RPS29,P62273,-0.889121
RPS3,P23396,0.169717
RPS3A,P61247,0.12868
RPS4X,P62701,0.448249
RPS4Y1,P22090,0.390061
RPS4Y2,Q8TD47,NA
RPS5,P46782,-0.005987
RPS6,P62753,-0.217533
RPS6KA1,Q15418,NA
RPS6KA3,P51812,2.470981
RPS7,P62081,-0.290492
RPS8,P62241,-0.116073
RPS9,P46781,0.42185
RPSA,P08865,0.381476
RRBP1,Q9P2E9,-1.0018
RRP12,Q5JTH9,-0.355904
RRP9,O43818,-1.188586
RSL1D1,O76021,-0.698257
RTN4,Q9NQC3,-0.147865
RUVBL1,Q9Y265,1.178899
RUVBL2,Q9Y230,1.510671
RUXGL,A8MWD9,-0.940029
S100P,P25815,0.21199
SAFB,Q15424,-1.564447
SAFB2,Q14151,-2.040302
SAMM50,Q9Y512,0.797577
SAP18,O00422,-0.469261
SAR1A,Q9NR31,1.94992
SAR1B,Q9Y6B6,2.811351
SARNP,P82979,-1.004232
SARS,P49591,1.752222
SART3,Q15020,2.361393
SBDS,Q9Y3A5,NA
SCARB1,Q8WTV0,-0.5292
SCCPDH,Q8NBX0,0.709808
SCD,O00767,-1.325957
SCP2,P22307,-1.289066
SDHA,P31040,0.018696
SDHB,P21912,0.397248
SEC11A,P67812,0.058853
SEC13,P55735,0.741093
SEC22B,O75396,-0.482606
SEC23A,Q15436,0.310839
SEC23B,Q15437,0.963126
SEC24C,P53992,0.432694
SEC31A,O94979,1.441703
SEC61A1,P61619,-0.399911
SEL1L,Q9UBV2,-0.186637
SEPT7,Q16181,0.823271
SEPT9,Q9UHD8,0.435221
SERBP1,Q8NC51,-0.805947
SERPINA1,P01009,-0.746781
SERPINA3,P01011,-2.238445
SERPINE1,P05121,1.255611
SERPINH1,P50454,0.800155
SET,Q01105,1.122511
SF3A1,Q15459,-0.685346
SF3A2,Q15428,-1.078459
SF3A3,Q12874,0.023074
SF3B1,O75533,-0.574148
SF3B14,Q9Y3B4,-1.317615
SF3B2,Q13435,-0.974536
SF3B3,Q15393,-0.865892
SFN,P31947,NA
SFPQ,P23246,-0.850979
SFXN1,Q9H9B4,0.418737
SGPL1,O95470,-1.416696
SHMT2,P34897,0.560644
SKIV2L2,P42285,-1.574492
SLC16A3,O15427,0.380963
SLC1A5,Q15758,-0.368135
SLC25A1,P53007,0.605935
SLC25A10,Q9UBX3,-0.578101
SLC25A11,Q02978,-0.354794
SLC25A12,O75746,NA
SLC25A13,Q9UJS0,0.256612
SLC25A3,Q00325,0.007504
SLC25A4,P12235,-0.007946
SLC25A5,P05141,-0.982566
SLC25A6,P12236,-0.320655
SLC27A2,O14975,1.112401
SLC2A1,P11166,-0.448331
SLC2A3,P11169,0.900336
SLC30A7,Q8NEW0,-0.744571
SLC38A2,Q96QD8,0.968184
SLC39A7,Q92504,-3.213779
SLC3A2,P08195,0.185966
SLC7A5,Q01650,0.244998
SLC9A3R1,O14745,0.73199
SLIRP,Q9GZT3,-1.023567
SMARCA1,P28370,-0.083502
SMARCA5,O60264,-0.2413
SMARCC2,Q8TAQ2,NA
SMC1A,Q14683,-3.200953
SND1,Q7KZF4,0.075685
SNRNP200,O75643,0.013432
SNRNP70,P08621,-0.84085
SNRPA,P09012,-1.32345
SNRPA1,P09661,-0.432213
SNRPB,P14678,-0.525965
SNRPB2,P08579,-0.879551
SNRPC,P09234,-0.881944
SNRPD1,P62314,-0.055627
SNRPD2,P62316,-0.888837
SNRPD3,P62318,-0.823201
SNTB1,Q13884,0.770309
SOD1,P00441,0.353899
SOD2,P04179,-0.186488
SON,P18583,-1.059971
SPATS2L,Q9NUQ6,-1.385809
SPCS2,Q15005,-0.096545
SPCS3,P61009,1.547723
SPR,P35270,1.744236
SPTAN1,Q13813,-0.857327
SPTB,P11277,NA
SPTBN1,Q01082,-0.62947
SPTBN2,O15020,-1.158192
SQLE,Q14534,0.109987
SQRDL,Q9Y6N5,-2.242896
SRC,P12931,0.724098
SRM,P19623,3.03412
SRP14,P37108,-0.464608
SRP68,Q9UHB9,0.411288
SRP72,O76094,0.52334
SRP9,P49458,-1.213928
SRPR,P08240,0.136596
SRPRB,Q9Y5M8,-0.057803
SRRM1,Q8IYB3,-1.424345
SRRM2,Q9UQ35,-0.696678
SRRT,Q9BXP5,-0.071554
SRSF1,Q07955,-0.980335
SRSF11,Q05519,-0.463857
SRSF2,Q01130,-0.924184
SRSF3,P84103,-0.398181
SRSF4,Q08170,-0.871786
SRSF5,Q13243,-0.51072
SRSF6,Q13247,-0.68931
SRSF7,Q16629,-0.758801
SRSF9,Q13242,-0.311219
SSB,P05455,1.464945
SSBP1,Q04837,-0.285021
SSR1,P43307,0.111709
SSR3,Q9UNL2,-0.625486
SSR4,P51571,-0.141985
SSRP1,Q08945,-0.741562
ST13,P50502,0.684148
ST13P4,Q8IZP2,1.402751
STAU1,O95793,-0.088691
STIP1,P31948,1.113003
STK39,Q9UEW8,NA
STMN1,P16949,0.830029
STOM,P27105,0.470778
STOML2,Q9UJZ1,-0.051397
STT3A,P46977,-0.167053
STT3B,Q8TCJ2,-0.682542
SUB1,P53999,1.092315
SUCLA2,Q9P2R7,0.1213
SUCLG1,P53597,3.2E-05
SUCLG2,Q96I99,0.249587
SULT1A1,P50225,2.865307
"SULT1A3; SULT1A4",P50224,3.441599
SULT2A1,Q06520,4.335178
SUMO2,P61956,0.8916
SUPT16H,Q9Y5B9,-0.561674
SURF4,O15260,0.241352
SYNCRIP,O60506,-0.634059
SYVN1,Q86TM6,-0.437941
TACO1,Q9BSH4,0.385248
TAF15,Q92804,-1.853534
TALDO1,P37837,0.761136
TARDBP,Q13148,-0.183853
TARS,P26639,NA
TBL2,Q9Y4P3,-0.626355
TBL3,Q12788,-1.224408
TCEA1,P23193,1.742448
TCOF1,Q13428,-1.120913
TCP1,P17987,-0.266668
TDRD6,O60522,NA
TECR,Q9NZ01,-0.291142
TF,P02787,0.899335
TFAM,Q00059,-0.252824
TFRC,P02786,0.258527
TGFBI,Q15582,3.142019
TGFBR3,Q03167,-2.196006
TGOLN2,O43493,-0.342094
THEM6,Q8WUY1,NA
THOC6,Q86W42,0.542036
THRAP3,Q9Y2W1,-0.899035
THYN1,Q9P016,-0.261426
TIMM13,Q9Y5L4,-1.52557
TIMM44,O43615,0.952854
TIMM50,Q3ZCQ8,-0.744261
TIMM9,Q9Y5J7,-0.949977
TKT,P29401,0.971576
TLN1,Q9Y490,2.018244
TLN2,Q9Y4G6,2.174356
TM9SF2,Q99805,-0.337189
TM9SF3,Q9HD45,-0.237452
TM9SF4,Q92544,-0.256195
TMCO1,Q9UM00,-1.108681
TMED10,P49755,0.492186
TMED2,Q15363,-0.085122
TMED4,Q7Z7H5,0.279815
TMED5,Q9Y3A6,0.141483
TMED7,Q9Y3B3,-0.15187
TMED9,Q9BVK6,-0.027286
TMEM214,Q6NUQ4,-0.710277
TMEM43,Q9BTV4,-0.885374
TMEM97,Q5BJF2,-0.048867
TMPO,P42167,-0.752081
TMX1,Q9H3N1,-0.146696
TNPO1,Q92973,-0.416234
TOMM22,Q9NS69,-1.344015
TOMM40,O96008,-0.264225
TOMM5,Q8N4H5,-1.409292
TOMM70A,O94826,-0.459543
TOP1,P11387,-0.861877
TOP2A,P11388,-1.312779
TOP2B,Q02880,-0.607258
TPD52L2,O43399,-0.227215
TPI1,P60174,1.409836
TPM1,P09493,0.80455
TPM3,P06753,0.065587
TPM3L,A6NL28,0.261999
TPM4,P67936,0.520442
TPT1,P13693,2.165216
TRA2B,P62995,-0.213203
TRAM1,Q15629,-0.940167
TRAP1,Q12931,0.370201
TRIM25,Q14258,0.693959
TRIM28,Q13263,1.363626
TRMT10C,Q7L0Y3,0.027411
TSFM,P43897,-0.046642
TSPAN6,O43657,0.520985
TST,Q16762,0.716036
TTC38,Q5R3I4,3.927748
TTLL12,Q14166,NA
TUBA1A,Q71U36,4.352667
TUBA1B,P68363,3.402399
TUBA1C,Q9BQE3,2.164851
TUBB,P07437,2.725483
TUBB2A,Q13885,3.17875
TUBB3,Q13509,1.779834
TUBB4B,P68371,2.555988
TUBB6,Q9BUF5,NA
TUFM,P49411,0.314206
TXN,P10599,0.875784
TXNDC12,O95881,-0.467703
TXNDC5,Q8NBS9,-0.353005
U2AF1,Q01081,0.10533
U2AF2,P26368,0.50301
U2SURP,O15042,-0.205047
UBA1,P22314,2.500165
UBA52,P62987,-0.646713
UBA6,A0AVT1,NA
UBE2N,P61088,1.093334
UBTF,P17480,0.717246
UCHL5,Q9Y5K5,1.503831
UFL1,O94874,-0.673486
UGDH,O60701,2.899322
UGGT1,Q9NYU2,0.232524
UGP2,Q16851,2.720266
UMPS,P11172,2.520673
UQCR10,Q9UDW1,0.476939
UQCRB,P14927,0.018739
UQCRC1,P31930,-0.044644
UQCRC2,P22695,0.166266
UQCRFS1,P47985,0.304945
UQCRH,P07919,-0.33995
USMG5,Q96IX5,-0.557605
USP10,Q14694,-0.543867
USP39,Q53GS9,-0.510326
USP7,Q93009,1.588646
UTP15,Q8TED0,0.093955
UTRN,P46939,1.814371
VAMP3,Q15836,-0.383667
VAPA,Q9P0L0,-0.681977
VAPB,O95292,-0.612728
VARS,P26640,1.043199
VAT1,Q99536,-1.222708
VCP,P55072,0.781334
VDAC1,P21796,0.032361
VDAC2,P45880,-0.216879
VDAC3,Q9Y277,-0.296704
VIL1,P09327,-0.279688
VPS35,Q96QK1,1.486112
VPS4A,Q9UN37,3.063815
VSNL1,P62760,0.405174
VTN,P04004,NA
WARS,P23381,3.012769
WDR1,O75083,1.671234
WDR3,Q9UNX4,-0.844507
WFS1,O76024,-1.034632
WWC3,Q9ULE0,-0.624703
XPO1,O14980,2.018659
XPO5,Q9HAV4,4.051966
XPOT,O43592,NA
XRCC5,P13010,0.802412
XRCC6,P12956,0.826332
YARS,P54577,1.879313
YARS2,Q9Y2Z4,0.595283
YBX1,P67809,-0.670761
YME1L1,Q96TA2,-0.853267
YWHAB,P31946,0.568032
YWHAE,P62258,0.813852
YWHAG,P61981,0.364948
YWHAH,Q04917,0.875069
YWHAQ,P27348,2.012337
YWHAZ,P63104,0.696375
ZMPSTE24,O75844,-0.125413
