protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
gi|6319593|ref|NP_009675.1|,obsolete,GSC14,NA,1,53,3,41,41,30,61,18,35,40,57,12,26,34,27,28,59,34,44,9,29
gi|6319603|ref|NP_009685.1|,obsolete,GSC14,NA,1,36,1,36,44,20,37,7,42,26,42,12,23,27,16,33,33,31,31,1,19
gi|6319625|ref|NP_009707.1|,obsolete,GSC14,NA,1,21,3,19,29,12,19,10,24,26,40,5,17,21,7,13,20,19,21,4,14
gi|6320362|ref|NP_010442.1|,obsolete,GSC14,NA,1,33,9,21,24,11,28,8,31,27,34,4,12,22,11,15,22,16,28,2,7
gi|6320535|ref|NP_010615.1|,obsolete,GSC14,NA,1,10,1,26,22,5,5,4,10,10,13,5,17,7,3,13,17,5,15,3,3
gi|6320548|ref|NP_010628.1|,obsolete,GSC14,NA,1,43,3,34,50,29,38,14,41,51,61,19,26,20,24,28,31,25,37,9,24
gi|6320553|ref|NP_010633.1|,obsolete,GSC14,NA,1,27,3,34,64,23,29,13,37,33,19,9,27,18,11,10,41,28,31,8,16
gi|6320607|ref|NP_010687.1|,obsolete,GSC14,NA,1,16,2,16,18,9,11,5,19,20,16,4,10,10,10,8,10,11,15,3,8
gi|6320724|ref|NP_010804.1|,obsolete,GSC14,NA,1,27,9,26,39,19,38,13,32,28,60,10,21,18,14,28,36,34,28,2,18
gi|6320801|ref|NP_010880.1|,obsolete,GSC14,NA,1,13,2,16,12,6,11,5,8,13,11,8,4,5,3,4,13,11,10,0,2
gi|6320882|ref|NP_010961.1|,obsolete,GSC14,NA,1,45,11,23,32,17,37,16,30,29,41,12,18,13,14,15,22,21,37,4,12
gi|6320899|ref|NP_010978.1|,obsolete,GSC14,NA,1,19,2,6,8,5,3,3,9,7,9,4,10,6,3,3,10,5,14,0,3
gi|6320908|ref|NP_010987.1|,obsolete,GSC14,NA,1,57,6,38,38,24,36,17,31,40,40,17,19,22,25,26,34,30,31,11,15
gi|6320936|ref|NP_011015.1|,obsolete,GSC14,NA,1,65,3,48,53,38,42,12,46,61,69,9,34,38,30,33,48,43,61,9,25
gi|6320950|ref|NP_011029.1|,obsolete,GSC14,NA,1,65,2,45,53,28,49,5,37,50,46,7,33,27,23,28,39,48,44,1,12
gi|6320980|ref|NP_011059.1|,obsolete,GSC14,NA,1,12,12,25,20,18,21,4,24,19,33,7,13,16,14,19,18,6,15,3,13
gi|6321023|ref|NP_011102.1|,obsolete,GSC14,NA,1,16,3,28,19,17,14,7,16,27,20,7,7,15,12,15,24,14,17,7,14
gi|6321401|ref|NP_011478.1|,obsolete,GSC14,NA,1,9,2,21,12,5,8,12,16,18,14,5,9,10,6,7,12,15,20,5,10
gi|6321474|ref|NP_011551.1|,obsolete,GSC14,NA,1,8,0,6,11,2,3,0,3,12,9,2,4,3,4,1,5,3,4,2,5
gi|6321523|ref|NP_011600.1|,obsolete,GSC14,NA,1,26,0,26,44,9,19,4,19,20,30,2,8,17,23,20,29,15,13,3,12
gi|6321594|ref|NP_011671.1|,obsolete,GSC14,NA,1,33,1,39,30,17,35,7,39,51,51,6,31,20,12,15,38,28,34,4,16
gi|6321619|ref|NP_011696.1|,obsolete,GSC14,NA,1,30,2,22,33,27,12,6,24,33,24,14,20,11,10,9,21,14,13,4,16
gi|6321631|ref|NP_011708.1|,obsolete,GSC14,NA,1,32,2,24,15,10,26,8,19,26,21,7,13,12,5,11,26,24,37,3,11
gi|6321650|ref|NP_011727.1|,obsolete,GSC14,NA,1,26,15,34,51,17,25,8,37,33,32,12,21,22,29,22,30,30,27,3,12
gi|6321687|ref|NP_011764.1|,obsolete,GSC14,NA,1,18,6,13,20,15,17,5,15,18,26,6,15,12,8,7,15,10,20,4,5
gi|6321693|ref|NP_011770.1|,obsolete,GSC14,NA,1,55,1,31,25,16,37,11,23,37,40,6,19,15,9,14,31,20,33,5,9
gi|6321977|ref|NP_012053.1|,obsolete,GSC14,NA,1,47,7,31,27,22,47,9,36,33,42,11,21,21,14,21,30,19,28,8,15
gi|6322138|ref|NP_012213.1|,obsolete,GSC14,NA,1,15,1,4,7,7,4,3,6,10,11,4,13,9,5,5,13,7,17,0,4
gi|6322409|ref|NP_012483.1|,obsolete,GSC14,NA,1,35,2,25,12,9,26,8,23,28,20,7,10,13,7,11,23,23,35,3,12
gi|6322569|ref|NP_012643.1|,obsolete,GSC14,NA,1,91,11,65,82,45,66,16,84,75,102,19,57,47,33,41,83,62,87,8,44
gi|6322599|ref|NP_012673.1|,obsolete,GSC14,NA,1,34,0,22,18,16,24,3,25,32,32,2,14,15,7,8,34,25,36,2,10
gi|6322828|ref|NP_012901.1|,obsolete,GSC14,NA,1,12,4,16,15,12,13,2,15,17,15,4,6,7,9,13,16,9,15,0,4
gi|6322910|ref|NP_012983.1|,obsolete,GSC14,NA,1,7,1,7,6,0,6,1,4,5,7,1,6,2,3,7,8,2,8,1,5
gi|6322950|ref|NP_013023.1|,obsolete,GSC14,NA,1,43,10,27,36,21,36,16,36,32,40,14,27,31,15,21,42,39,33,8,22
gi|6323980|ref|NP_014051.1|,obsolete,GSC14,NA,1,19,10,20,25,11,38,11,24,30,24,11,10,18,7,11,26,12,32,4,17
gi|6324151|ref|NP_014221.1|,obsolete,GSC14,NA,1,28,1,9,22,8,17,2,13,18,19,6,5,11,7,20,9,13,25,0,7
gi|6324195|ref|NP_014265.1|,obsolete,GSC14,NA,1,33,4,26,23,14,30,8,32,34,32,5,14,20,13,9,17,17,30,3,12
gi|6324804|ref|NP_014873.1|,obsolete,GSC14,NA,1,23,2,32,26,20,28,11,28,27,27,4,22,22,13,15,49,37,30,7,14
gi|6324911|ref|NP_014980.1|,obsolete,GSC14,NA,1,68,7,73,78,53,76,16,56,91,79,10,50,38,26,35,50,48,61,8,35
gi|6324945|ref|NP_015014.1|,obsolete,GSC14,NA,1,14,0,7,18,1,10,2,6,9,15,3,5,2,5,6,7,8,23,2,0
gi|6324951|ref|NP_015020.1|,obsolete,GSC14,NA,1,35,6,17,36,18,48,4,29,28,28,8,20,15,21,19,38,22,37,6,19
gi|9755343|ref|NP_061494.1|,obsolete,GSC14,NA,1,7,0,3,7,4,8,2,9,8,6,1,6,6,1,4,7,5,9,0,5
