GI,Entry,Ref,Description,Peptide.counts..all.,p.Value..6..vs..10..,p.Value..10..vs..17.5..,ratio_10_over_6,ratio_17.5_over_10
516206044,UPI000369FFD8,WP_017610123.1,"hypothetical protein",11,0.017,0.02,1.755,5.356
516206047,UPI00034DAF73,WP_017610124.1,"ectoine synthase",7,0.001,0.048,2.241,0.38
516206049,UPI000347492A,WP_017610125.1,"diadenosine tetraphosphatase",26,0.027,0.353,2.06,0.656
516206051,UPI000375C92F,WP_017610126.1,acetyltransferase,10,0.011,0.325,2.174,0.691
516206081,UPI0003464DA2,WP_017610141.1,"hypothetical protein",15,0.005,0.371,0.526,1.353
516206083,UPI00037E7A58,WP_017610142.1,"transcriptional regulator",9,0.004,0.091,0.527,0.505
516206088,UPI00036537AC,WP_017610145.1,"hypothetical protein",20,0.005,0.43,2.624,0.9
516206113,UPI000346DDF2,WP_017610164.1,"hypothetical protein",11,0,0.446,0.346,1.157
516206115,UPI00037F6784,WP_017610165.1,"hypothetical protein",4,0,0.181,3.254,0.737
516206123,UPI000345021F,WP_017610169.1,"30S ribosomal protein S9",11,0.004,0.302,2.251,0.657
516206147,UPI00037F810D,WP_017610178.1,"adenylate kinase",14,0.024,0.059,1.803,0.367
516206151,UPI000348ABEC,WP_017610180.1,"50S ribosomal protein L15",11,0.027,0.305,1.874,0.641
516206169,UPI00035E4DB6,WP_017610186.1,"30S ribosomal protein S14",4,0,0.207,3.393,0.629
516206173,UPI00034A5DFD,WP_017610188.1,"50S ribosomal protein L14",14,0.045,0.332,1.855,0.657
516206175,UPI00034ACE3D,WP_017610189.1,"30S ribosomal protein S17",12,0.011,0.125,2.438,0.437
516206181,UPI000362783D,WP_017610192.1,"50S ribosomal protein L22",11,0.04,0.476,1.827,0.788
516206183,UPI00034B33D7,WP_017610193.1,"30S ribosomal protein S19",6,0.01,0.102,2.038,0.489
516206189,UPI0003455F39,WP_017610196.1,"50S ribosomal protein L4",8,0.02,0.107,2.234,0.421
516206190,UPI00034D66C7,WP_017610197.1,"50S ribosomal protein L3",23,0.004,0.3,2.976,1.148
516206201,UPI00034C9AE3,WP_017610204.1,"50S ribosomal protein L7/L12",6,0.021,0.037,1.702,0.352
516206240,UPI000347F644,WP_017610226.1,"hypothetical protein",14,0.038,0.077,1.681,0.388
516206279,UPI0003494A7F,WP_017610243.1,"histidine kinase",2,0,0.33,0.295,1.633
516206299,UPI000346CB72,WP_017610262.1,"L-aspartate oxidase",14,0.029,0.45,0.579,1.155
516206322,UPI00034572DE,WP_017610285.1,"hypothetical protein",2,0.196,0.041,1.391,3.554
516206323,UPI00034CE657,WP_017610286.1,hydrolase,8,0.005,0.295,0.529,1.7
516206362,UPI0003495E8A,WP_017610325.1,"50S ribosomal protein L31",4,0.032,0.075,1.655,0.42
516206376,UPI000346BB58,WP_017610339.1,"ATP synthase subunit epsilon",4,0.008,0.077,2.362,0.479
516206381,UPI000374443E,WP_017610344.1,"hypothetical protein",9,0.044,0.187,0.691,0.658
516206382,UPI0003819CB8,WP_017610345.1,"hypothetical protein",2,0.417,0,1.056,13.148
516206389,UPI00037EB976,WP_017610352.1,"hypothetical protein",5,0.218,0.049,1.369,4.074
516206405,UPI000363F2F4,WP_017610368.1,"hypothetical protein",8,0.033,0.128,1.785,0.527
516206417,UPI00034DB3DC,WP_017610380.1,peptidase,10,0.283,0.031,1.145,0.322
516206419,UPI00034BE3F3,WP_017610382.1,"cysteine synthase",15,0.024,0.093,0.569,0.462
516206456,UPI0003487D4C,WP_017610419.1,"hypothetical protein",4,0.011,0.063,0.518,3.438
516206457,UPI0003645DB8,WP_017610420.1,"hypothetical protein",9,0.001,0.313,0.486,1.601
516206458,UPI00034B99A7,WP_017610421.1,"hypothetical protein",3,0,0.135,0.363,0.634
516206459,UPI0003478443,WP_017610422.1,"sulfite reductase",43,0.003,0.344,0.473,1.205
516206482,UPI00034B924D,WP_017610445.1,"major facilitator transporter",4,0.397,0.047,1.175,3.847
516206526,UPI00034C4030,WP_017610489.1,"sugar ABC transporter permease",5,0.093,0.013,1.614,5.862
516206530,UPI000349EA2A,WP_017610493.1,"hypothetical protein",6,0.011,0.481,2.271,1.242
516206552,UPI0003455B22,WP_017610515.1,"histidine kinase",14,0.008,0.454,0.56,1.067
516206555,UPI000347B0F3,WP_017610518.1,"hypothetical protein",9,0,0.079,0.34,0.507
516206556,UPI00034A1A9A,WP_017610519.1,"peptidase S9",34,0.032,0.193,1.664,0.553
516206572,UPI00034D0A29,WP_017610535.1,"endonuclease IV",9,0.369,0.033,0.95,0.371
516206584,UPI00037E3BB1,WP_017610547.1,"hypothetical protein",15,0.005,0.482,0.489,1.077
516206597,UPI00034C4866,WP_017610560.1,"acyl carrier protein",2,0.017,0.147,0.593,0.616
516206617,UPI00037626F5,WP_017610580.1,peptidase,7,0,0.153,0.277,2.328
516206623,UPI000349EF38,WP_017610586.1,"hypothetical protein",13,0.384,0.03,1.033,0.34
516206652,UPI000349BE1E,WP_017610615.1,"sulfate adenylyltransferase",29,0.002,0.207,0.464,1.66
516206653,UPI000348F971,WP_017610616.1,"sulfate adenylyltransferase subunit 2",20,0.007,0.286,0.495,1.491
516206661,UPI00034A960F,WP_017610624.1,"TetR family transcriptional regulator",5,0.003,0.463,0.496,1.197
516206668,UPI00036F80EF,WP_017610631.1,"hypothetical protein",4,0.015,0.381,2.375,0.924
516206669,UPI00037AB3EA,WP_017610632.1,transketolase,3,0.01,0.421,2.132,1.425
516206702,UPI0003497323,WP_017610665.1,"aconitate hydratase",9,0.036,0.27,1.661,1.646
516206725,UPI00036E203A,WP_017610688.1,phosphodiesterase,2,0.007,0.264,2.695,1.609
516206800,UPI00034BA43B,WP_017610763.1,"hypothetical protein",6,0.256,0.045,1.254,3.594
516206818,UPI000348C546,WP_017610781.1,"quinolinate synthetase",8,0.006,0.474,2.052,1.052
516206834,UPI0003782F77,WP_017610797.1,"formyltetrahydrofolate deformylase",11,0.009,0.191,0.53,0.667
516206852,UPI0003469979,WP_017610815.1,"proline iminopeptidase",20,0,0.422,0.257,0.894
516206860,UPI00037736C3,WP_017610823.1,"heme oxygenase",7,0.001,0.452,0.432,1.192
516206904,UPI00034D3E06,WP_017610867.1,"30S ribosomal protein S20",3,0.001,0.496,2.444,1.037
516206908,UPI0003455577,WP_017610871.1,"multiple sugar transporter permease",5,0.005,0.312,2.323,1.553
516206910,UPI0003467D97,WP_017610873.1,alpha-amylase,18,0,0.207,2.965,0.559
516206926,UPI0003460073,WP_017610889.1,"cytidine deaminase",3,0.333,0.036,1.202,0.412
516206938,UPI00034621B8,WP_017610901.1,"tartronate semialdehyde reductase",8,0,0.47,3.082,0.958
516206961,UPI00035DDAF3,WP_017610924.1,"potassium transporter",10,0.274,0.019,0.896,4.941
516206975,UPI000375E0B6,WP_017610938.1,"MULTISPECIES: anti-sigma B factor antagonist",8,0.016,0.076,1.832,0.434
516207011,UPI000346217D,WP_017610974.1,"hypothetical protein",4,0.416,0.044,1.121,3.642
516207012,UPI00034BA32F,WP_017610975.1,"hypothetical protein",4,0.036,0.154,1.609,0.626
516207014,UPI00037FFD7A,WP_017610977.1,"signal peptide protein",12,0.002,0.315,2.454,0.651
516207024,UPI00035F849D,WP_017610987.1,"hypothetical protein",14,0.179,0.038,1.229,3.578
516207029,UPI000344A684,WP_017610992.1,"hypothetical protein",3,0.062,0.034,1.732,4.254
516207034,UPI000344FD6E,WP_017610997.1,"50S ribosomal protein L28",4,0,0.318,3.689,0.789
516207050,UPI00034AED07,WP_017611013.1,"hypothetical protein",7,0.014,0.23,2.025,0.717
516207067,UPI00034BFC22,WP_017611030.1,"hypothetical protein",6,0.36,0.04,0.926,3.823
516207072,UPI00034DF1B2,WP_017611035.1,"ribosome recycling factor",12,0.027,0.063,1.8,0.364
516207085,UPI0003475C79,WP_017611048.1,"enoyl-CoA hydratase",15,0.05,0.324,1.642,0.693
516207093,UPI000345DB80,WP_017611056.1,"dihydrolipoyl dehydrogenase",11,0,0.292,0.462,0.805
516207097,UPI00034C2DC6,WP_017611060.1,"membrane protein",9,0.031,0.45,1.828,1.136
516207111,UPI00037635DA,WP_017611074.1,"hypothetical protein",3,0.379,0.036,1.129,3.685
516207114,UPI000347ED68,WP_017611077.1,"hypothetical protein",9,0.007,0.072,2.056,3.266
516207131,UPI00034DA53D,WP_017611094.1,"GntR family transcriptional regulator",13,0.015,0.118,0.588,0.567
516207135,UPI000348981C,WP_017611098.1,"4-aminobutyrate aminotransferase",3,0.002,0.454,2.856,1.051
516207160,UPI00037E0FB7,WP_017611123.1,"dihydrodipicolinate reductase",12,0.411,0.04,1.002,0.371
516207169,UPI000345B78C,WP_017611132.1,"cell division protein FtsK",14,0.04,0.487,0.693,1.152
516207171,UPI00037BC8C2,WP_017611134.1,"ribosomal protein S12 methylthiotransferase",8,0.033,0.444,0.686,1.098
516207175,UPI000347E894,WP_017611138.1,"glycoside hydrolase",2,0.027,0.471,0.591,1.345
516207186,UPI00034B4897,WP_017611149.1,"hypothetical protein",2,0.003,0.073,2.586,3.396
516207205,UPI000345937D,WP_017611168.1,"molybdate ABC transporter permease",4,0,0.071,0.337,3.164
516207216,UPI000363FE0B,WP_017611179.1,acetyltransferase,4,0.025,0.323,2.108,0.876
516207217,UPI000377A93E,WP_017611180.1,"LysR family transcriptional regulator",15,0.041,0.305,0.593,0.759
516207243,UPI00034C17D5,WP_017611206.1,"hypothetical protein",2,0.009,0.384,0.537,1.013
516207265,UPI00034543E9,WP_017611228.1,"glucarate dehydratase",9,0.02,0.5,0.557,1.192
516207282,UPI000345931F,WP_017611245.1,"iron-siderophore uptake system transmembrane protein",2,0.318,0.03,1.26,4.339
516207305,UPI00037FDC12,WP_017611268.1,"rRNA methyltransferase",9,0.001,0.158,0.475,0.631
516207308,UPI0003751175,WP_017611271.1,"hypothetical protein",2,0.006,0.398,2.484,1.043
516207318,UPI00034DE63B,WP_017611281.1,aminotransferase,12,0,0.313,3.174,0.789
516207325,UPI00034B9BDD,WP_017611288.1,"sodium:alanine symporter",10,0.072,0.046,1.532,3.792
516207326,UPI00034B748C,WP_017611289.1,"phosphomethylpyrimidine kinase",5,0.041,0.438,0.654,1.257
516207330,UPI000345D1EA,WP_017611293.1,"hypothetical protein",3,0.022,0.107,0.589,2.763
516207340,UPI0003723E3A,WP_017611303.1,"hypothetical protein",2,0.265,0.029,1.3,5.019
516207345,UPI0003476F36,WP_017611308.1,"transcription elongation factor GreA",11,0.126,0.045,1.316,0.374
516207353,UPI0003497815,WP_017611316.1,"cystathionine gamma-synthase",14,0.005,0.083,0.48,0.507
516207377,UPI00034D9C27,WP_017611340.1,"hypothetical protein",4,0,0.499,3.558,1.091
516207395,UPI000346B6D2,WP_017611358.1,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",8,0.296,0.041,1.119,0.378
516207401,UPI000347AD7D,WP_017611364.1,"transcriptional regulator",2,0,0.093,2.596,0.548
516207405,UPI00034777CB,WP_017611368.1,"cystathionine gamma-synthase",12,0.444,0.006,0.965,0.302
516207410,UPI0003489139,WP_017611373.1,"ABC transporter ATPase",17,0.465,0.049,1.027,3.802
516207412,UPI00034790C0,WP_017611375.1,"cytochrome BD ubiquinol oxidase subunit I",3,0.497,0.043,1.051,3.668
516207434,UPI0003651206,WP_017611397.1,"iron-sulfur protein",5,0.149,0.041,1.365,3.965
516207435,UPI000349F615,WP_017611398.1,"hypothetical protein",15,0.014,0.215,0.534,1.775
516207443,UPI000361169D,WP_017611406.1,"triosephosphate isomerase, partial",18,0.117,0.03,1.518,0.292
516207457,UPI00034D756B,WP_017611420.1,"hypothetical protein",14,0.032,0.496,0.59,1.008
516207460,UPI0003496BFA,WP_017611423.1,"hypothetical protein",6,0.448,0.037,1.002,3.98
516207478,UPI0003499BE7,WP_017611441.1,phosphohydrolase,7,0.029,0.075,1.825,0.492
516207480,UPI0003479BEC,WP_017611443.1,"hypothetical protein",19,0.101,0.025,1.354,4.416
516207499,UPI00034CB3F1,WP_017611462.1,"hypothetical protein",5,0.042,0.194,0.657,0.707
516207523,UPI000344A527,WP_017611486.1,"peptidase M38",17,0,0.257,0.218,0.757
521048385,UPI0003449B62,WP_020380409.1,"50S ribosomal protein L13",8,0.026,0.098,1.774,0.426
